Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,24.1,32.8,41.5,23.8,0.73,4.65
1/2/2017,0,23.8,32.2,40.6,24.2,0.57,4.34
1/3/2017,0.23,34.4,40.8,47.2,39.8,0.3,1.78
1/4/2017,0.59,32.7,39.9,47.2,38,0.27,1.8
1/5/2017,0,16.8,23.7,30.7,11.4,0.95,2.01
1/6/2017,0.06,1.3,10.3,19.2,6.4,0.26,1.17
1/7/2017,0,1,7.2,13.3,-0.3,0.29,1.08
1/8/2017,0,2.7,8.1,13.5,1.4,0.37,1.26
1/9/2017,0,7.5,11.6,15.7,3,0.65,1.48
1/10/2017,0.13,15.9,23.2,30.6,13.9,0.54,2.65
1/11/2017,0.31,30.8,39.6,48.4,32.5,0.65,3.37
1/12/2017,0.59,32.3,46.2,60.2,43.3,0.8,4.76
1/13/2017,0.53,26.2,40.4,54.7,31.7,0.31,1.91
1/14/2017,0,24,26,28,16.9,1.11,1.93
1/15/2017,0,19.8,25.6,31.4,20.6,0.3,2.13
1/16/2017,0,20,26.2,32.4,20.6,0.32,2.45
1/17/2017,0.36,27.8,37.9,47.9,32.7,0.48,2.26
1/18/2017,0.24,36.9,47.3,57.7,42.1,0.62,4.74
1/19/2017,0,35.7,37.4,39.2,33.6,0.63,1.46
1/20/2017,0.14,35.5,38.7,41.9,33.1,0.7,2.37
1/21/2017,0.2,39.2,46.4,53.5,43.4,0.31,2.61
1/22/2017,0,43.8,52.1,60.3,48,0.49,5.22
1/23/2017,0.35,38.5,49.7,60.9,42.8,0.34,6.95
1/24/2017,0.6,34.4,37.8,41.3,36.5,0.32,0.87
1/25/2017,0.03,33.9,36.7,39.4,33.5,0.35,1.61
1/26/2017,0.02,33.5,42.1,50.6,34.5,0.54,3.91
1/27/2017,0.11,30.2,33.9,37.5,28.7,0.76,2
1/28/2017,0.01,25.7,28.5,31.2,21.5,0.99,1.99
1/29/2017,0.02,26.7,27.9,29.2,21.8,0.85,1.52
1/30/2017,0.16,22.7,26.5,30.3,20.5,0.49,2.04
1/31/2017,0.12,21.1,25.3,29.4,16.5,0.48,2.05
2/1/2017,0.14,29.9,33.5,37.2,28.9,0.42,2.19
2/2/2017,0,25.9,31.1,36.4,24.4,0.87,2.86
2/3/2017,0,15.4,21.9,28.4,11,0.73,2.66
2/4/2017,0,12.6,18.9,25.1,8,0.62,2.39
2/5/2017,0,15.2,24.5,33.8,9.5,0.91,3.94
2/6/2017,0,22.9,32.3,41.7,22.2,0.52,4.61
2/7/2017,0.84,23.2,37.8,52.4,34.8,0.31,6.83
2/8/2017,0.6,36.1,47.2,58.2,45.5,0.38,4.13
2/9/2017,0.15,22,28.8,35.6,22.9,0.58,1.85
2/10/2017,0.04,12.3,17.3,22.3,8.5,0.61,1.79
2/11/2017,0,14.2,28.4,42.6,17.3,0.79,4.18
2/12/2017,0.3,35.7,41.8,47.8,35.9,0.45,3.93
2/13/2017,0,30.4,37.3,44.3,26.8,0.45,3.89
2/14/2017,0,28,33.6,39.1,21.2,1.33,4.24
2/15/2017,0.01,30,39.4,48.8,28.1,0.85,6.07
2/16/2017,0.06,23.9,27.6,31.2,18.9,0.96,2.08
2/17/2017,0,23.8,27,30.2,17.1,1.19,2.55
2/18/2017,0,28.2,40.9,53.6,30.2,1.49,7.61
2/19/2017,0,40.4,53.8,67.2,38.2,1.02,14.41
2/20/2017,0,31.5,46.7,62,34.3,0.53,12.99
2/21/2017,0,31.8,44.9,57.9,32.9,0.53,9.9
2/22/2017,0.03,47.1,55.6,64.1,43.8,1.6,11.06
2/23/2017,0,54,57.9,61.7,52,1.74,5.41
2/24/2017,0.05,46.7,55.8,64.9,49.5,0.67,8.02
2/25/2017,0.54,41.7,57.7,73.6,48.9,1.55,15.38
2/26/2017,0,24.1,33.4,42.6,21.6,0.9,3.27
2/27/2017,0,25,32.6,40.4,18.6,1.29,5.07
2/28/2017,0,34.7,41.4,48.2,31.6,0.71,6.4
3/1/2017,0.36,42,52.4,62.8,47.3,0.86,6.36
3/2/2017,0.26,28.1,43.3,58.5,35.3,0.78,5.47
3/3/2017,0.29,22.3,28,33.7,18.9,0.57,2.73
3/4/2017,0,19,22.3,25.6,10.5,0.75,2.47
