Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,36.7,43.7,50.7,36,0.92,5.81
1/2/2017,0.07,41.7,47,52.4,36.6,1.23,6.97
1/3/2017,0.23,42.1,45.6,49,40,0.98,3.76
1/4/2017,1.23,45.7,51.1,56.5,46.8,0.67,4.12
1/5/2017,0.43,44.3,50.1,56,47.3,0.52,2.24
1/6/2017,0,29.4,39.9,50.3,32.1,0.3,6.75
1/7/2017,0.29,30.8,38.4,46.1,29.5,0.74,5.7
1/8/2017,0.63,41.5,51.2,61,50.1,0.47,5.1
1/9/2017,1.41,54.2,59,63.8,53.6,2.05,6.38
1/10/2017,0.58,52.2,55,57.7,46.7,1.62,6.41
1/11/2017,1.81,52.7,55.1,57.4,49.9,1.37,4.03
1/12/2017,0.23,43.5,48.1,52.7,42.6,0.69,4.68
1/13/2017,0.08,36.7,42.4,48.2,40.6,0.28,2.43
1/14/2017,0,35,46.5,58,34.7,0.28,10.54
1/15/2017,0,32.2,44.2,56.2,33.6,0.43,9.34
1/16/2017,0,30.7,40.2,49.8,35.2,0.22,4.44
1/17/2017,0,33.1,42.2,51.4,35.5,0.34,5.49
1/18/2017,0.08,32.2,40.1,48.1,37.8,0.22,3.32
1/19/2017,0.89,43.6,49.2,54.8,43.8,0.68,5.29
1/20/2017,0.65,48.6,52,55.3,43.3,1.87,5.36
1/21/2017,1.01,44.9,48.5,52.1,42,0.93,3.82
1/22/2017,0.5,45.2,49.9,54.5,41.8,1.18,5.88
1/23/2017,0.5,43.6,50.5,57.4,42.8,0.99,6.77
1/24/2017,0.05,36.6,43.8,51,38.8,0.37,4.81
1/25/2017,0,32.2,41.8,51.4,36.2,0.27,5.45
1/26/2017,0,30.5,42.8,55.2,36.9,0.29,7.19
1/27/2017,0,32.3,44.2,56.1,35.9,0.38,8.61
1/28/2017,0,31.6,44.4,57.2,32,0.33,10.19
1/29/2017,0,31.9,44.7,57.4,36.3,0.33,8.18
1/30/2017,0,31.9,46.6,61.4,35.5,0.3,11.67
1/31/2017,0,33.5,46.6,59.7,37.7,0.31,8.85
2/1/2017,0,32.7,46.2,59.7,40.9,0.07,7.03
