Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0.23,21.4,30.1,38.9,25.1,0.63,3.25
1/2/2017,0,19.2,31,42.7,20.2,0.43,5.58
1/3/2017,0.05,20.7,29.7,38.8,26.3,0.45,3.5
1/4/2017,0.8,33.7,38.1,42.4,36.7,0.24,1.68
1/5/2017,0.02,24.7,35.8,46.9,25.6,0.56,4.09
1/6/2017,0.02,24.3,28.3,32.4,11.3,0.67,4.12
1/7/2017,0.02,15.7,23.6,31.4,12.1,0.45,3.02
1/8/2017,0.38,4.6,13.1,21.7,9.8,0.33,1.83
1/9/2017,0,-0.6,10.6,21.8,-0.8,0.32,2.64
1/10/2017,0,-0.8,9.6,20,-1,0.29,2.28
1/11/2017,0.28,5.3,26.1,46.9,26.1,0.25,2.92
1/12/2017,0.11,36.7,45.5,54.2,35.4,0.31,9.27
1/13/2017,0.02,40.8,50.9,61.1,46.1,0.73,6.69
1/14/2017,0,14.3,29.6,44.8,8.2,1.27,6.55
1/15/2017,0,15.1,22.8,30.5,8.5,0.65,4.31
1/16/2017,0,13.4,25.1,36.9,11.9,0.42,5.01
1/17/2017,0,15.3,27.8,40.4,15.8,0.59,5.77
1/18/2017,0.55,24.5,33.9,43.3,27.7,0.28,5.83
1/19/2017,0.12,30.4,33.7,37,30.2,0.31,0.88
1/20/2017,0,27.6,35.8,43.9,29.9,0.29,3.47
1/21/2017,0,31.8,35.9,39.9,30.6,0.33,2.98
1/22/2017,0,33.3,44,54.7,36.4,0.26,6.1
1/23/2017,0.09,32.6,39.2,45.8,34.1,0.23,2.75
1/24/2017,1.07,31.8,34.2,36.6,29.6,0.52,1.93
1/25/2017,0.18,32.4,35.7,39,32.1,0.5,1.82
1/26/2017,0.03,34.1,38.2,42.3,28.5,0.89,4.47
1/27/2017,0,36.8,43.9,51,29.9,1.18,5.83
1/28/2017,0,33.3,38.1,42.8,18.3,2.99,5.83
1/29/2017,0,27.9,34,40.1,17.9,1.77,5.01
1/30/2017,0,19.7,30.5,41.3,16,0.9,5.83
1/31/2017,0,14.8,25.2,35.5,8.2,0.89,4.7
2/1/2017,0.11,16.6,22.7,28.7,16.8,0.35,3.14
2/2/2017,0,22,31.8,41.6,20.4,0.43,5.15
2/3/2017,0,17.8,28.4,38.9,12,1.15,5.23
2/4/2017,0,16.9,24.5,32.1,6.6,1.25,4.09
2/5/2017,0,18.4,25.9,33.3,7.1,1.21,4.69
