Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,19.3,33.3,47.3,24.3,0.21,5.89
1/2/2017,0.02,20.6,31.2,41.8,27.7,0.3,4.2
1/3/2017,0.16,34.3,40.8,47.2,40.8,0,0.99
1/4/2017,0.17,14.7,28.7,42.7,28.6,0.12,1.15
1/5/2017,0.05,10.5,15.9,21.4,9.2,0.37,1.48
1/6/2017,0.02,-1,6.6,14.1,3.2,0.27,0.95
1/7/2017,0,-2.5,4.1,10.8,-3.7,0.25,1.07
1/8/2017,0,-1.3,9.5,20.3,2.4,0.26,1.55
1/9/2017,0,0.1,11.4,22.7,6.4,0.26,1.56
1/10/2017,0,20.6,29.8,39,23,0.91,2.77
1/11/2017,0.02,25.3,40,54.8,35.5,0.3,2.93
1/12/2017,0.28,29.4,44.8,60.2,43.1,0.01,3.36
1/13/2017,0.03,21,28.1,35.2,23.8,0.28,1.23
1/14/2017,0.11,21.3,26.1,30.8,23,0.28,1.64
1/15/2017,0.16,27.8,29.8,31.8,28.4,0.19,0.68
1/16/2017,0.01,28.8,31.8,34.9,30.3,0.17,1.3
1/17/2017,0.41,34.7,45.4,56.2,44.3,0.09,1.38
1/18/2017,0,35.1,40.3,45.6,37.3,0.19,1.29
1/19/2017,0,32.5,36.7,40.8,33.9,0.12,1.73
1/20/2017,1.36,35.2,39.8,44.5,39.9,0,1.33
1/21/2017,0,42.4,47.5,52.7,47.1,0.06,1.44
1/22/2017,0,42.1,52.5,62.9,46.9,0.46,7.36
1/23/2017,0,37.8,44.6,51.4,41.6,0.21,2.12
1/24/2017,0,36,38.4,40.8,36,0.41,1.47
1/25/2017,0,35,38.7,42.4,34.6,0.48,2.24
1/26/2017,0,31.6,40.5,49.3,34.1,0.39,3.22
1/27/2017,0,29.7,31.5,33.2,26.2,0.74,1.65
1/28/2017,0,24.5,27.3,30.2,21.6,0.61,1.58
1/29/2017,0,27.4,31.1,34.9,24.5,0.71,2.1
1/30/2017,0.02,14.1,21.9,29.7,19,0.26,1.88
1/31/2017,0,12.8,26.5,40.1,25.4,0.19,2.56
2/1/2017,0,33.7,38.4,43.1,31.3,0.86,3.51
2/2/2017,0,19.4,30.4,41.3,22,0.74,4.39
2/3/2017,0,17.6,23.4,29.2,10.8,0.98,2.97
2/4/2017,0,12,21.2,30.5,8.3,0.4,3.78
2/5/2017,0,14.6,25.4,36.2,14.5,0.55,4.64
2/6/2017,0,25.4,35.6,45.9,25.2,0.5,5.57
2/7/2017,0.27,30,44.1,58.3,44.1,0.02,2.67
2/8/2017,0,30.5,45.9,61.2,41,0.58,4.5
2/9/2017,0.2,10.6,21.5,32.5,19.5,0.22,1.57
2/10/2017,0,7.5,16.4,25.3,8,0.38,1.87
2/11/2017,0,25.5,36.9,48.2,32.6,0.96,4.16
2/12/2017,0,37.4,51.1,64.8,47.4,0.21,7.06
2/13/2017,0,24.3,37.6,51,26.9,0.43,7.47
2/14/2017,0,24.4,35.3,46.2,26.1,0.44,6.36
2/15/2017,0,27.3,39.7,52,29.6,0.77,7.25
2/16/2017,0,24.6,33.6,42.6,19.5,0.72,6.04
2/17/2017,0,25.1,37.8,50.6,27.7,0.63,7.87
2/18/2017,0,37.3,53,68.7,36.3,1.65,16.29
2/19/2017,0,43,55.4,67.9,43,0.25,14.24
