Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,25.1,39.4,53.7,25.8,0.5,9.11
1/2/2017,0.03,27.4,35.5,43.6,32.8,0.55,3.3
1/3/2017,0.21,40.1,44.3,48.5,44.2,0.11,0.75
1/4/2017,0,17.8,32.2,46.6,28.3,0.19,1.54
1/5/2017,0.03,17,21.8,26.6,11.7,0.46,2.52
1/6/2017,0.01,8.2,13.4,18.6,8.4,0.44,1.13
1/7/2017,0,4.3,9.5,14.8,-1.5,0.49,1.49
1/8/2017,0,4.3,15,25.8,5,0.42,2.56
1/9/2017,0,8.7,17.8,27,11.2,0.49,2.16
1/10/2017,0,21.6,35.7,49.7,27.2,1.06,5.04
1/11/2017,0.02,29,47.4,65.8,38,0.37,11.98
1/12/2017,0.02,34.3,51.8,69.4,47.6,0.34,9.56
1/13/2017,0.02,28,34.4,40.7,25.3,0.49,1.79
1/14/2017,0.65,26.4,29.2,32.1,26.7,0.22,1.5
1/15/2017,0.18,32.1,32.9,33.8,31.1,0.25,0.61
1/16/2017,0.13,31.8,35.3,38.8,34.8,0.03,0.67
1/17/2017,0.13,40.2,48.4,56.6,47.9,0.06,1.95
1/18/2017,0,37.4,41.2,45,37,0.87,2.25
1/19/2017,0.02,37.2,42.4,47.7,36.3,0.69,4.36
1/20/2017,0.3,42.3,44.9,47.5,44.9,0.06,0.78
1/21/2017,0,47,51.1,55.2,48.7,0.39,2.92
1/22/2017,0,47.2,58.4,69.7,45.3,1.12,16.34
1/23/2017,0,38.9,46.6,54.3,41.5,0.68,4.05
1/24/2017,0,36.8,40.1,43.4,34.2,0.96,2.65
1/25/2017,0,36.1,44.6,53.1,36.5,0.88,5.8
1/26/2017,0,33.9,42.6,51.3,30,1.92,5.97
1/27/2017,0,27.9,30.9,33.8,22.8,1.19,2.29
1/28/2017,0,27.8,31.1,34.4,20.9,1.4,2.9
1/29/2017,0,32.2,37.4,42.7,26.6,1.58,4.49
1/30/2017,0,23.7,31.1,38.4,23.2,0.62,3.61
1/31/2017,0,26.1,40.1,54.1,28.5,0.6,8.87
2/1/2017,0,39.1,45.5,51.9,29.5,2.54,8.29
2/2/2017,0,26.1,37.5,48.8,24.7,1.42,7.15
2/3/2017,0,23.7,30.1,36.4,12.9,1.6,4.97
2/4/2017,0,19.9,27.9,35.8,9.5,1.16,5.28
2/5/2017,0,24.1,32.4,40.8,14,1.86,6.55
2/6/2017,0,33.4,43.9,54.5,29,0.92,9.14
2/7/2017,0.02,41.2,53.2,65.2,52.6,0.17,4.96
2/8/2017,0.04,33.6,50.3,67,41.4,1.26,11.42
2/9/2017,0,18.2,26.9,35.6,20,0.72,2.22
2/10/2017,0,18.4,24.2,30,12.1,1.19,3.1
2/11/2017,0,25.7,47.4,69.1,33.8,1.33,17.77
2/12/2017,0,46.7,60,73.3,52.9,0.63,11.96
2/13/2017,0,29.1,42.9,56.7,24.5,1.42,11.45
2/14/2017,0,31.7,39.5,47.4,24.1,1.76,7.67
2/15/2017,0,34.6,46,57.4,27.6,2.31,11.55
2/16/2017,0,30.7,39.5,48.4,18.4,2.02,8.58
2/17/2017,0,30.3,50.5,70.7,26.3,1.95,21.43
2/18/2017,0,48.3,61.3,74.3,34.1,4.07,23.34
2/19/2017,0,43,52,61,45.7,0.17,7.99
2/20/2017,0,45.2,58.8,72.3,50.1,0.18,15.37
2/21/2017,0.24,54.1,66,77.9,53.8,0.63,20.08
2/22/2017,0.06,48.1,57,65.9,55,0.08,6.15
2/23/2017,0,49.1,61,73,53.5,0.21,13.11
2/24/2017,0,52.7,62.6,72.4,54.3,0.95,12.64
2/25/2017,0,29,47.2,65.4,34.6,1.68,7.83
2/26/2017,0,26.4,33.8,41.2,14.4,1.79,6.23
2/27/2017,0,33.1,40.6,48.1,26.2,0.88,8.1
2/28/2017,0.03,41.6,53.6,65.5,43.9,1.46,13.94
3/1/2017,0.47,53.3,63.2,73.1,57,1.39,10.92
3/2/2017,0.01,33.3,42.4,51.5,31.2,1.8,6.07
3/3/2017,0,28.3,39.5,50.8,24,1.16,8.62
3/4/2017,0,27.5,36.4,45.2,18,1.52,7.49
3/5/2017,0,34.2,52.4,70.6,30.1,2.3,20.66
3/6/2017,0,49.9,54.9,59.8,43,2.27,9.91
3/7/2017,0.45,48.9,58.9,68.9,55,0.84,6.98
3/8/2017,0,42.2,50.1,58,23.6,4.19,13.15
3/9/2017,0,44.3,55.6,66.8,25.5,5.33,18.94
3/10/2017,0.3,35.3,54.4,73.4,36.1,2.01,19.15
3/11/2017,0.04,28.1,36.5,44.8,16,0.85,7.06
3/12/2017,0.02,28,31.8,35.6,16.9,1.24,3.97
3/13/2017,0.2,30.2,36.8,43.3,19.4,0.33,6.48
3/14/2017,0.11,29.2,33.6,38.1,29.6,0.21,1.68
3/15/2017,0.01,17.1,24.5,31.9,15.1,0.79,3.03
3/16/2017,0,19.1,28.7,38.4,12.7,0.88,5.73
3/17/2017,0,30.4,40.7,50.9,26.9,2.22,7.97
3/18/2017,0,39.9,54.7,69.5,41.8,1.91,13.14
3/19/2017,0,34.9,46.9,58.8,29.7,1.21,11.73
3/20/2017,0,37.2,47.2,57.2,35.3,1.5,9.33
3/21/2017,0,46.6,65.2,83.9,50.1,1.25,23.84
3/22/2017,0.01,36,49.1,62.2,33.2,1.53,13.58
3/23/2017,0.04,35.4,44,52.6,21.4,2.1,10.15
3/24/2017,0.08,37.4,50.4,63.4,41.9,0.94,10.4
3/25/2017,0.7,55.9,67.1,78.2,55.3,0.87,19.76
3/26/2017,0.25,52.2,58.8,65.4,54.1,0.95,5.82
3/27/2017,0.07,50,56,62.1,49,0.81,6.88
3/28/2017,0.31,51.6,54.5,57.4,52.3,0.68,1.93
3/29/2017,0,47.8,52.7,57.7,47.7,1.15,4.54
3/30/2017,0.32,48.4,57.2,66,53.7,0.38,7.13
3/31/2017,0.65,46,57.1,68.3,50.4,0.55,7.37
4/1/2017,0,41,45.5,49.9,40.5,1.04,3.22
4/2/2017,0,43.2,51.5,59.7,41.5,1.63,8.38
4/3/2017,0.03,46.7,57.5,68.3,48.8,1.57,11.87
4/4/2017,0.53,54.6,61.2,67.9,55.4,0.92,6.21
4/5/2017,1.06,53.9,59.1,64.3,51.3,0.49,7.79
4/6/2017,0.62,41.4,51.5,61.6,46.5,0.45,4.75
4/7/2017,0,40.9,49.4,58,34.2,2.46,10.15
4/8/2017,0,43.4,52.6,61.9,29.9,2.79,14.64
4/9/2017,0,48.5,63.2,77.9,44.1,5.04,22.76
4/10/2017,0,62.7,73,83.4,54.2,7.41,23.71
4/11/2017,0.06,48.6,63.8,78.9,53.3,1.64,17.74
4/12/2017,0,44.1,53.3,62.5,42.8,1.04,10.1
4/13/2017,0,49.3,61.3,73.3,44.3,1.79,19.13
4/14/2017,0,60.1,71.2,82.4,54.5,4.55,23.64
4/15/2017,0.05,65.6,74.3,83,57,6.06,23.44
4/16/2017,0.02,68.1,75.9,83.7,55.2,5.91,26.75
4/17/2017,0.04,58,66.3,74.6,57.4,0.97,12.38
4/18/2017,0.02,52.8,61,69.2,48.3,1.72,13.78
4/19/2017,0,57.1,68,78.8,57.5,2,17.41
4/20/2017,0,68.5,77.7,86.9,60.7,5.07,28.13
4/21/2017,0,51.4,66.3,81.1,53.7,3.22,18.6
4/22/2017,0.14,47.1,50.8,54.5,43.1,1.49,5.07
4/23/2017,0.05,45.7,53.3,60.8,38.2,2.89,10.57
4/24/2017,0,43.6,57.8,72.1,34.8,2.34,21.09
4/25/2017,0,51.9,64,76.2,40.2,3.41,24.14
4/26/2017,0,60.1,70.8,81.4,51.9,3.01,25
4/27/2017,1.46,47.9,57.5,67.1,55.3,0.41,5.73
4/28/2017,0.02,47.2,54.4,61.6,46.2,1.01,9.04
4/29/2017,1.42,54.6,56.7,58.8,56,0.5,1.62
4/30/2017,3.51,51.5,63,74.5,56.9,0.26,5.98
5/1/2017,0.71,50.6,61.5,72.4,53.8,0.48,9.26
5/2/2017,0,47.3,50.7,54.1,41.3,1.95,5.64
5/3/2017,0.19,49.9,59.8,69.7,43.3,2.52,16.47
5/4/2017,2.23,46.8,47.9,49.1,45.5,0.5,2.01
5/5/2017,0.39,47.9,50.7,53.5,41.9,1.28,5.45
5/6/2017,0,48.9,58.2,67.5,42.3,2.05,14.75
5/7/2017,0,45.9,57.7,69.6,46.1,0.75,14.54
5/8/2017,0,52,64.1,76.1,46.6,1.85,21.91
5/9/2017,0,59.5,70.8,82.1,57.8,2.85,20.62
5/10/2017,0,65.3,76,86.7,60.5,3.38,26.56
5/11/2017,0.36,68.6,76.8,84.9,65.2,1.46,21.21
5/12/2017,0.13,58.2,65.3,72.4,60.4,0.98,6.65
5/13/2017,0,53.1,63.2,73.2,52.6,1.02,14.94
5/14/2017,0,58.1,68.9,79.7,53.6,2.09,22.36
5/15/2017,0,61.4,72.4,83.5,54.6,3.68,26.57
5/16/2017,0,66.2,76.4,86.7,59.7,5.02,26.94
5/17/2017,0,70.5,78.6,86.8,60.5,7.58,27.68
5/18/2017,0,70.5,76.1,81.6,63.6,3.98,17.03
5/19/2017,0.34,66.3,77.6,88.8,66.3,1.84,28.36
5/20/2017,1.27,57.1,69.4,81.8,60.3,0.3,17.9
5/21/2017,0.18,57.9,68.2,78.6,61.5,0.94,12.72
5/22/2017,0,52.3,61.1,69.9,48.3,1.5,14.18
5/23/2017,0,59.1,67.6,76.2,52,2.31,20.27
5/24/2017,0.24,52.3,60.5,68.7,55.1,0.77,9.21
5/25/2017,0.02,54.2,61.1,68,50.9,1.44,11.81
5/26/2017,0,58.1,66.9,75.7,53.5,2.34,18.04
5/27/2017,0,64.9,73.7,82.4,65.7,1.08,16.31
5/28/2017,0.47,63,72.3,81.6,63.4,1.18,15.94
5/29/2017,0,62.1,70.8,79.5,59.1,1.78,19.09
5/30/2017,0.3,58.6,72.2,85.8,55.7,1.61,30.58
5/31/2017,0,59.8,70.4,81.1,51.7,2.65,25.82
6/1/2017,0,61.1,71.2,81.3,54.2,3.37,23.15
6/2/2017,0,63,72.1,81.1,56.1,2.26,21.89
6/3/2017,0,66.4,77.2,87.9,62.1,2.17,28.02
6/4/2017,0.01,72.2,80.5,88.8,64.7,4.51,28.4
6/5/2017,0.31,67.5,77,86.5,68.6,0.71,19.73
6/6/2017,0,63.7,76.5,89.3,62.2,1.56,27.32
6/7/2017,0,59.9,70.1,80.2,47.4,6.86,25.13
6/8/2017,0,58.2,68.7,79.3,49.2,3.84,23.65
6/9/2017,0,60,70.1,80.2,51,3.68,24.02
6/10/2017,0,69.4,77,84.6,54.5,9.13,27.24
6/11/2017,0,70.9,78.4,86,58,8.65,26.62
6/12/2017,0,72.2,80.8,89.3,63.7,6.83,27.16
6/13/2017,0,76.5,84.7,93,70.5,4.75,28.61
6/14/2017,0,76.5,84.7,92.9,70,6.41,28.9
6/15/2017,1,66.4,78,89.6,69.2,0.97,19.82
6/16/2017,0,71.2,80.2,89.1,66.6,3.87,27.62
6/17/2017,0.07,71.9,80.3,88.7,68.3,3.53,21
6/18/2017,0.88,69.7,78.7,87.8,70.3,1.14,18.84
6/19/2017,0,64.9,73.3,81.6,62.9,1.75,18.77
6/20/2017,0,64.6,75,85.3,59.3,2.56,26.16
6/21/2017,0,71.2,80.3,89.3,62.7,5.69,30.42
6/22/2017,0,73.8,83.3,92.8,67.7,4.26,32.12
6/23/2017,0,75.5,80.2,84.9,72.6,2.53,13.56
6/24/2017,0,63.7,74.1,84.4,61.3,3.09,23.35
6/25/2017,0,60.3,69.5,78.7,49.3,5.14,22.88
6/26/2017,0,57,69.5,82.1,49.5,3.38,27.11
6/27/2017,0,56.7,67.6,78.6,52.4,1.26,22.31
6/28/2017,0,64.8,72.9,81,54.7,4.78,24.16
6/29/2017,0.02,71,79.2,87.4,64.1,4.26,24.87
6/30/2017,0.07,73.8,81.5,89.2,69,3.62,23.49
7/1/2017,0.09,70,77.1,84.2,67.7,2.39,17.23
7/2/2017,0,63.8,75.5,87.3,61.6,2.19,27.87
7/3/2017,0,69.2,79.4,89.6,61.5,3.8,33.06
7/4/2017,0,69.5,80.1,90.7,66.8,2.41,28.96
7/5/2017,0.1,75,80.3,85.6,69.5,3.8,19.48
7/6/2017,0.05,71.2,78.1,85,70.8,1.2,15.37
7/7/2017,0,71,80.8,90.6,69.8,1.59,26.28
7/8/2017,0,68.2,80.9,93.7,68.3,3.68,27.64
7/9/2017,0,70.7,80.4,90.2,64.8,3.72,30.05
7/10/2017,0,76,85.3,94.5,67.3,7.56,34.88
7/11/2017,0,78,86.9,95.8,70.5,7.8,34.05
7/12/2017,0,75.3,86.5,97.7,67.2,6.24,42.72
7/13/2017,0,80.5,89.8,99.1,71.9,7.91,42.05
7/14/2017,0.52,73.2,84,94.8,73,1.31,27.68
7/15/2017,0,67,78.1,89.1,68.3,1.84,23.64
7/16/2017,0,67.6,77.5,87.3,63.8,2.61,26.73
7/17/2017,1.01,70.9,82.1,93.3,69.9,1.7,29.42
7/18/2017,0,72.3,81.4,90.4,70,3.16,23.67
7/19/2017,0,76.4,85.9,95.4,71.8,3.07,34.24
7/20/2017,0,79.3,88.4,97.6,72.4,7.24,39.54
7/21/2017,0,79.7,89.5,99.2,73,5.91,40.46
7/22/2017,0,81.8,91,100.2,72.8,8.77,44.21
7/23/2017,0.28,71.9,87.3,102.6,72.6,2.47,46.13
7/24/2017,0,71.9,81.5,91.1,69.1,2.67,27.02
7/25/2017,0,71.1,80.3,89.4,67,3.22,26.06
7/26/2017,0,73.8,82.8,91.7,70.8,2.75,26.66
7/27/2017,0.38,74.6,85,95.4,74.4,0.94,29.33
7/28/2017,0.16,73,79.2,85.5,73.5,1.13,12.97
7/29/2017,0,67.3,76.5,85.8,64.8,4.14,21.14
7/30/2017,0,64.4,73.6,82.8,57.8,3.73,23.82
7/31/2017,0,64.1,73.8,83.5,59.4,2.22,23.76
8/1/2017,0,72.2,78.4,84.6,64.7,5.01,22.51
8/2/2017,0.02,69.3,78.6,87.8,65.8,2.87,25.75
8/3/2017,0.03,71.4,80.5,89.6,66.7,3.23,28.32
8/4/2017,0,63.7,77.3,90.9,64.7,4.32,29.42
8/5/2017,0,60.2,69.2,78.3,52.8,2.63,20.47
8/6/2017,0.15,63.6,70.4,77.1,58.9,0.87,17.75
8/7/2017,0,65.8,69.5,73.2,65.8,0.62,5.79
8/8/2017,0,64.8,72.4,80.1,64.8,0.75,13.09
8/9/2017,0,58.9,70.6,82.2,56.2,1.51,23.47
8/10/2017,0,67.9,76.2,84.5,58.9,4.02,26.64
8/11/2017,0.12,69.5,78.5,87.6,67.4,1.69,22.07
8/12/2017,0.02,62.6,73.5,84.4,65.2,0.89,17.95
8/13/2017,0,61.8,71,80.3,57.2,1.91,20.26
8/14/2017,0.12,64,73,82,60.7,1.71,22.31
8/15/2017,0,69.7,75.7,81.7,68.5,0.93,12.14
8/16/2017,0,73.6,81.7,89.8,70.6,1.91,24.53
8/17/2017,2.24,68.2,78.5,88.9,71.7,0.29,17.39
8/18/2017,0,68.1,76.5,84.9,66.9,3.02,17.4
8/19/2017,0,68.5,78.4,88.3,66,1.27,26.91
8/20/2017,0,73.2,81.9,90.5,68.9,3,26.74
8/21/2017,0,75.5,83,90.5,71.8,2.28,22.1
