Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,25.1,36.6,48.1,29.5,0.29,5.27
1/2/2017,0,25.5,34.2,42.8,34.1,0.33,2.78
1/3/2017,0.15,41.7,46.1,50.6,46.1,0.07,0.73
1/4/2017,0.02,18.5,33.6,48.6,32,0.22,1.32
1/5/2017,0.05,17.2,21,24.8,13.5,0.35,1.9
1/6/2017,0.02,6.9,12.1,17.3,8.8,0.31,0.96
1/7/2017,0,-0.7,6.2,13.1,-0.9,0.26,1.24
1/8/2017,0,-0.4,9.3,19,4,0.21,1.44
1/9/2017,0,2.4,13.3,24.2,9.9,0.26,1.63
1/10/2017,0,22,34.7,47.3,24.6,1.26,4.16
1/11/2017,0,28.2,43.2,58.3,39.6,0.26,5.4
1/12/2017,0.03,34.7,49.4,64.2,49.4,0.4,5.18
1/13/2017,0,27.3,44.5,61.7,31.8,0.55,3.85
1/14/2017,0.24,26.8,29.1,31.4,28.2,0.08,1.11
1/15/2017,0.15,29.7,32.3,34.8,32.1,0.07,0.55
1/16/2017,0.27,31.6,35.4,39.3,35.4,0.06,0.49
1/17/2017,0.73,38.8,48.7,58.6,48.7,0.13,2.15
1/18/2017,0,37.1,41.3,45.6,38.4,0.53,1.96
1/19/2017,0,36.8,40.9,45,36.1,0.5,3.07
1/20/2017,0.42,39.8,44.6,49.4,44.6,0.2,1.49
1/21/2017,0.01,46.4,50.9,55.5,50.1,0.15,2.54
1/22/2017,0,46,56.3,66.6,50.6,0.37,9.19
1/23/2017,0,39.3,49.7,60.1,45.1,0.6,4.79
1/24/2017,0,37.2,39.4,41.6,35.5,0.74,1.88
1/25/2017,0,37.2,42.9,48.7,35.9,0.93,4.48
1/26/2017,0,33.5,43.2,52.8,33.5,1.32,5.15
1/27/2017,0,28.8,31.1,33.4,24.6,1.07,1.94
1/28/2017,0,24,28.8,33.5,22.1,0.51,2.19
1/29/2017,0,30.1,35.1,40.2,27,1.05,3.29
1/30/2017,0,20,26.6,33.3,23.3,0.31,2.26
1/31/2017,0,20.8,33.1,45.4,28.5,0.32,4.38
2/1/2017,0,33,39.6,46.2,31.5,0.68,4.52
2/2/2017,0,23.8,33.5,43.1,27,0.6,4.35
2/3/2017,0,22.1,27.7,33.2,14.9,0.97,3.63
2/4/2017,0,14.6,23.3,32.1,11.4,0.29,3.96
2/5/2017,0,16.7,27.7,38.8,14.8,0.89,5.7
2/6/2017,0,31.3,41.1,50.8,29.6,0.76,6.74
2/7/2017,0.03,38,50.4,62.9,50.4,0.34,3.85
2/8/2017,0.1,32.2,49.6,67.1,44.5,0.88,9.15
2/9/2017,0,16.5,26.3,36.1,23.2,0.31,1.59
2/10/2017,0,16.5,21.8,27,13.4,0.72,2.08
2/11/2017,0.01,26,41,56,34,1.37,8.45
2/12/2017,0,45.5,56.4,67.3,55.2,0.24,6.63
2/13/2017,0,23.7,39.7,55.7,27.7,0.55,9.62
2/14/2017,0,24.5,35.8,47.2,25.3,0.46,7.65
2/15/2017,0,32.1,43.5,54.9,29.8,1.22,9.42
2/16/2017,0,24.8,34.4,43.9,20.9,0.71,6.34
2/17/2017,0,25.3,42.4,59.5,28.4,0.81,12.48
2/18/2017,0,41.3,55,68.6,35.8,2.77,17.15
2/19/2017,0,48.7,54.1,59.5,47.6,0.53,7.18
2/20/2017,0,46.4,55.5,64.5,50.3,0.24,7.74
2/21/2017,0,46.7,60.1,73.5,50.8,0.23,15.21
2/22/2017,0.06,46.6,53.8,60.9,52.4,0.19,4.54
2/23/2017,0,45.7,59.1,72.5,54.3,0.15,12.13
2/24/2017,0,51,59.9,68.7,54.8,0.38,9.22
2/25/2017,0.06,28.6,48.9,69.2,40,1.48,9.79
2/26/2017,0,21.1,30,38.9,16.9,0.54,4.9
2/27/2017,0.02,25,36.1,47.2,25.6,1.15,7.62
2/28/2017,0.26,40.9,50.7,60.4,43.9,0.89,8.77
3/1/2017,1.09,51.2,59.5,67.9,58.2,0.59,5.63
3/2/2017,0,31.3,42.7,54.2,34.1,0.85,4.88
3/3/2017,0,26.4,36,45.6,27.4,0.28,5.7
3/4/2017,0,26,33.5,41,18.4,1.11,5.97
3/5/2017,0,32.2,48.5,64.9,30.4,2.17,14.76
3/6/2017,0,42.6,52.5,62.4,41.9,1.66,10.81
3/7/2017,0.66,49.2,57.1,64.9,55.6,0.56,5.84
3/8/2017,0,37,46.1,55.2,31.1,0.93,9.7
3/9/2017,0,38.2,50.9,63.5,28.1,2.67,15.9
3/10/2017,0.12,33.1,51.6,70.2,37.7,0.95,15.94
3/11/2017,0,29.6,36,42.4,16.8,1.54,5.76
3/12/2017,0,25,30.5,36,13.6,1.51,4.63
3/13/2017,0.02,24.5,32.3,40.1,16,0.63,5.64
3/14/2017,0.13,25.6,29.8,34,29.3,0.12,1.58
3/15/2017,0,16.5,24.2,31.9,17.1,0.65,2.53
3/16/2017,0,16.8,26.3,35.7,13.8,0.51,4.46
3/17/2017,0,21.1,34.3,47.5,23.6,1.03,7.2
3/18/2017,0.18,36.2,47.5,58.9,43,0.2,4.71
3/19/2017,0,27.6,38,48.5,31,0.14,5.57
3/20/2017,0,27.9,42.3,56.7,33.9,0.18,9.37
3/21/2017,0,44.9,60.9,76.9,49.2,0.8,16.1
3/22/2017,0,32.1,46.9,61.7,34.4,0.82,12.48
3/23/2017,0,32.1,40.4,48.6,21.1,1.53,8.27
3/24/2017,0.19,33.9,45.5,57.1,39.6,0.68,5.3
3/25/2017,0,55.7,64.5,73.2,55.8,2.29,12.01
3/26/2017,0.12,53.8,61.5,69.2,55.3,0.61,9.95
3/27/2017,0,44.3,51.5,58.8,48.9,0.26,4.65
3/28/2017,0.14,48.8,55.8,62.8,52.7,0.59,4.7
3/29/2017,0,44.8,52.4,60,47,0.76,5.94
3/30/2017,0.23,45.6,55.2,64.8,52,0.82,7.86
3/31/2017,0.26,45.1,58.5,71.9,52.8,0.44,10.54
4/1/2017,0.01,37.8,42.4,46.9,40.9,0.4,1.97
4/2/2017,0,38,46.9,55.7,40.2,0.42,6.11
4/3/2017,0,41.4,53.2,65,46.4,0.83,9.86
4/4/2017,0.48,53.1,60.5,68,54.7,0.67,7.03
4/5/2017,0.67,50,57.6,65.1,50.9,0.42,7.95
4/6/2017,1.22,40.5,49.2,57.8,47.6,0.38,1.83
4/7/2017,0,36.6,45.2,53.8,35.6,1.3,6.92
4/8/2017,0,35.7,46.6,57.4,32.8,0.69,10.6
4/9/2017,0,43.4,57.2,71,39.7,3.71,17.18
4/10/2017,0,57.5,66.9,76.3,50,7.37,18.17
4/11/2017,0.33,49.2,60.9,72.7,55.6,1.79,10.31
4/12/2017,0,38.8,48.9,59.1,44.5,0.23,6.26
4/13/2017,0,41,55.7,70.5,43,0.28,16.76
4/14/2017,0,51,65.5,79.9,52.8,1.51,20.86
4/15/2017,0,58.5,70.2,81.8,55.9,2.24,21.87
4/16/2017,0,64.3,72.9,81.6,53.8,4.89,24.44
4/17/2017,0.25,53.9,63.4,72.8,58.9,0.42,7.93
4/18/2017,0,50.6,57.8,65,47.3,1.12,9.98
4/19/2017,0,55.5,66.4,77.3,57.6,0.55,15.13
4/20/2017,0,61.2,72.2,83.1,62,0.66,21.14
4/21/2017,0.06,48.6,64.6,80.5,54.8,1.92,18.37
4/22/2017,0.27,43.4,48.3,53.1,43.4,0.9,3.84
4/23/2017,0.03,40.1,47.5,55,38.3,1.29,6.82
4/24/2017,0,42.2,56.8,71.5,32.8,2.5,20.89
4/25/2017,0,47.9,61.9,75.9,38.7,1.69,25.1
4/26/2017,0,51.9,65,78.1,54.1,2.28,19.17
4/27/2017,1.47,47.3,62.9,78.4,56.6,0.22,16.95
4/28/2017,0,47,52.1,57.3,46.3,0.73,5.97
4/29/2017,1.37,50.5,55.4,60.4,55.4,0.41,3.73
4/30/2017,2.65,55.3,66.4,77.5,62.6,0.01,9.09
5/1/2017,0.77,51.9,61.1,70.3,58,0.35,6.03
5/2/2017,0,45.8,50.4,55.1,41.5,1.67,5.9
5/3/2017,0,46.9,57,67.2,43.5,1.37,13.93
5/4/2017,1.27,45.5,47.1,48.7,45.4,0.06,3.04
5/5/2017,0.61,43.9,46.5,49.1,43.8,0.48,2.1
5/6/2017,0,44.1,53.6,63.2,43,0.67,10.88
5/7/2017,0,42.3,53.1,63.9,45.8,0.2,9.84
5/8/2017,0,47.1,59,70.8,46.3,0.7,15.85
5/9/2017,0,50.8,62.8,74.7,54.1,1.68,13.63
5/10/2017,0,60,71.8,83.5,60.7,1.03,20.77
5/11/2017,1.56,63.7,73.6,83.6,64.1,0.51,19.47
5/12/2017,0.29,56.6,64.9,73.2,60.1,0.6,6.23
5/13/2017,0,49.6,60.2,70.8,51.5,0.37,13.13
5/14/2017,0,53.5,65,76.6,53.5,0.89,17.86
5/15/2017,0,56,68.9,81.8,55.6,0.75,22.78
5/16/2017,0,61.4,72.6,83.8,58.5,2.4,23.61
5/17/2017,0,66.3,75.3,84.3,60.9,4.2,22.43
5/18/2017,0,68.7,74.9,81.2,61.5,3.13,18.86
5/19/2017,0.01,67.7,76.5,85.3,66.7,2.74,20.32
5/20/2017,1.5,59.1,72.1,85.2,61.1,0.83,24.18
5/21/2017,0.72,59.5,69.3,79.1,64.8,0.29,11.9
5/22/2017,0,49.3,59.7,70.1,50.7,0.3,11.94
5/23/2017,0,52.8,63.3,73.8,50.4,1.38,18.33
5/24/2017,0.04,54.1,63.4,72.6,54.9,0.91,14.33
5/25/2017,0.04,54.4,58.8,63.2,53.9,0.57,6.58
5/26/2017,0,55.1,64.3,73.5,54.2,1.15,14.98
5/27/2017,0,60.6,70.3,80.1,64.3,0.51,15.12
5/28/2017,0.2,61,71.5,82,63.5,0.47,15.5
5/29/2017,0,57.8,67,76.2,60.1,1.53,13.09
5/30/2017,0.06,55.3,69.6,83.9,54.2,0.47,29.29
5/31/2017,0,55.8,68.1,80.3,49.9,1.34,25.93
6/1/2017,0,56.7,69.3,82,52.3,2.34,25.41
6/2/2017,0,60.2,70.9,81.6,51.7,2.76,25.23
6/3/2017,0,64.5,75.5,86.5,60.5,2.19,26.85
6/4/2017,0,65.5,76.8,88.2,63.9,0.93,26.72
6/5/2017,0.1,66.6,75.9,85.3,68.1,0.44,19.08
6/6/2017,0,61.8,75.7,89.7,60.1,1.09,34.09
6/7/2017,0,56.3,68.1,79.8,45.9,5.59,25.39
6/8/2017,0,52.7,65.1,77.5,48.4,1.6,22.41
6/9/2017,0,55.8,68.2,80.7,49.5,2.07,25.76
6/10/2017,0,58.5,71.2,84,52.7,3.15,28.07
6/11/2017,0,66.3,75.6,84.9,57.1,5.28,26.15
6/12/2017,0,68.4,78.4,88.4,62.3,3.85,28.39
6/13/2017,0,73,82.5,92,70.2,2.85,27.02
6/14/2017,0,73.2,82.9,92.7,69.9,3.41,29.22
6/15/2017,1.32,65.7,78.2,90.7,69.2,0.71,23.47
6/16/2017,0.05,65.4,75.5,85.5,68.2,0.44,18.04
6/17/2017,0,67.9,77.9,88,68.2,2.07,19.75
6/18/2017,0.91,66,76.8,87.5,69.6,0.65,20.28
6/19/2017,0,60.8,71.3,81.9,64.5,0.89,17.26
6/20/2017,0,60.1,71.3,82.5,59.5,0.55,22.58
6/21/2017,0.11,65,76.1,87.2,60.1,1.58,29.76
6/22/2017,0,69.7,80.1,90.6,68,2.07,25.53
6/23/2017,0.04,72.4,75.7,79,72.8,0.42,7.78
6/24/2017,0.24,59,70.3,81.6,65.3,1.1,13.53
6/25/2017,0,54.5,66.4,78.2,52.1,1.95,21.39
6/26/2017,0,51.7,65.9,80.2,49.5,0.92,24.81
6/27/2017,0,51.2,63.9,76.7,51.4,0.47,19.87
6/28/2017,0,57,67.5,78.1,52.3,2.75,20.75
