Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,21.8,33.4,45,21.4,0.56,6.15
1/2/2017,0,23.9,34.3,44.6,30.3,0.39,4.91
1/3/2017,0.04,35.3,42.3,49.4,42.3,0.09,1.08
1/4/2017,0,11.9,23.5,35,14.4,0.36,2.27
1/5/2017,0.15,10.3,16.8,23.3,6.6,0.31,2.47
1/6/2017,0,0.4,8.4,16.4,1,0.22,1.34
1/7/2017,0,0.4,7.3,14.3,-1.9,0.28,1.41
1/8/2017,0,5.2,15.3,25.3,6.4,0.37,2.29
1/9/2017,0,14.5,24.4,34.3,13.8,0.67,3.68
1/10/2017,0,25.8,41.1,56.3,32.8,1.53,6.43
1/11/2017,0,32.4,45.2,58,31.6,1.54,7.39
1/12/2017,0,19,42.1,65.2,29.5,0.41,12.28
1/13/2017,0,18.8,24.4,30,12.7,0.62,3.02
1/14/2017,0.01,20.1,23.7,27.2,17.5,0.24,2.12
1/15/2017,0.02,25.7,28.3,30.8,25.6,0.18,1.23
1/16/2017,0.63,30,32.5,35,31.6,0.1,0.48
1/17/2017,0.36,34.2,44,53.7,40.2,0.06,2.35
1/18/2017,0,29,34.4,39.7,32.6,0.05,1.34
1/19/2017,0,29.8,39.1,48.4,37.7,0.04,3.64
1/20/2017,0,43.1,45.9,48.8,45.4,0.08,0.89
1/21/2017,0,38.2,45.6,52.9,43.9,0.05,2.66
1/22/2017,0.17,39.5,47.8,56.1,42.2,0.16,6.78
1/23/2017,0.08,29.3,36.8,44.2,34.7,0.06,1.74
1/24/2017,0,29.1,35.8,42.4,31.3,0.14,2.74
1/25/2017,0,31,43.5,55.9,36.1,0.18,6.9
1/26/2017,0,26.8,31.8,36.7,23.8,1.04,2.57
1/27/2017,0,24.2,29.1,33.9,20.4,0.85,2.83
1/28/2017,0,25.1,35,44.9,20.4,0.81,6.91
1/29/2017,0,29.4,39,48.6,27.5,0.85,7.24
1/30/2017,0,30.7,40.5,50.4,30.3,0.42,6.79
1/31/2017,0,32,47.7,63.4,26.6,0.69,14.54
2/1/2017,0,35.9,42.9,49.9,27.8,2.22,7.42
2/2/2017,0,21.4,31.6,41.9,21.2,1.24,4.77
2/3/2017,0,20.7,26.5,32.4,8.9,1.28,4.38
2/4/2017,0,23.8,29.2,34.7,10.2,1.92,4.51
2/5/2017,0,25.2,35.4,45.6,23.1,0.74,6.23
2/6/2017,0,30.9,40.6,50.3,29,1.02,6.82
2/7/2017,0,39,48.3,57.7,48.2,0.14,2.81
2/8/2017,0,25,36.4,47.8,29.6,0.3,3.37
2/9/2017,0,16,22,28,12.5,0.94,2.12
2/10/2017,0,17.9,29,40.2,14.8,1.28,5.64
2/11/2017,0,42,54.8,67.5,39.8,1.17,15.5
2/12/2017,0,44.6,58.6,72.6,46.9,0.78,13.9
2/13/2017,0,30.3,41.3,52.2,20.3,1.94,10.41
2/14/2017,0,32.5,41.2,49.9,23.9,2.27,8.85
2/15/2017,0,31.5,42.5,53.5,26.5,1.45,9.07
2/16/2017,0,30.6,41.3,52,21,1.4,10.15
2/17/2017,0,41.6,56.5,71.5,30.5,3.85,21.28
2/18/2017,0,42.7,58.5,74.4,35.6,1.38,23.01
2/19/2017,0,44.7,58.3,71.9,45.1,0.44,16.82
2/20/2017,0.03,46.8,60.9,75,53.4,0.37,15.85
2/21/2017,0.04,49.9,59,68,52.9,0.58,9.68
2/22/2017,0,47.3,59.5,71.7,44.3,1.33,16.52
2/23/2017,0,48.9,64.1,79.4,40.6,2.82,27
2/24/2017,0.02,38.2,48.3,58.4,44.1,0.39,5.05
2/25/2017,0,23.3,32.4,41.4,24.5,0.77,2.91
2/26/2017,0,22.9,33,43,13.1,1.18,7.07
2/27/2017,0,27.2,38.9,50.6,30.1,0.06,7.65
2/28/2017,0,28.9,46.3,63.8,43.9,0.37,12.7
3/1/2017,0.78,38.4,57,75.6,45.5,1.09,20.87
3/2/2017,0,28.1,39.9,51.7,24.1,1.2,8.88
3/3/2017,0,25.7,40.6,55.5,21.7,0.92,10.82
3/4/2017,0,25.9,41.1,56.2,24.5,1.43,10.88
3/5/2017,0,50.7,60.5,70.3,33.2,4.21,19.75
3/6/2017,0,54.4,57.3,60.2,50.8,2.31,5.47
3/7/2017,0.25,35.6,55.3,75.1,44.2,1.37,14.15
3/8/2017,0,36.9,48.1,59.3,16.9,2.65,14.87
3/9/2017,0,40,53.8,67.6,24,4.26,19.55
3/10/2017,0,27.8,47.9,67.9,31.5,1.34,13.47
3/11/2017,0,26.7,35,43.2,14,1.34,6.64
3/12/2017,0.07,23.4,27.7,31.9,24.9,0.2,1.69
3/13/2017,0.01,24.3,33.7,43.1,28.7,0.32,4.09
3/14/2017,0,24.4,29.2,34,23.1,0.19,1.89
3/15/2017,0.01,19.1,26.1,33,16.9,0.69,3.11
3/16/2017,0,20.3,28.6,36.9,17.1,1.13,4.61
3/17/2017,0,37.1,51.8,66.6,43.6,2.15,11.92
3/18/2017,0,40,56.4,72.9,37,1.82,20.2
3/19/2017,0,40.3,52.8,65.4,21.8,4.14,18.16
3/20/2017,0,49.8,68.1,86.3,51.7,3.24,27.89
3/21/2017,0,49.2,65.7,82.1,47.6,3.01,24.03
3/22/2017,0,37.8,49.5,61.2,30,3.41,13.34
3/23/2017,0,37.6,47.2,56.9,26.4,3.78,10.96
3/24/2017,0,52.4,66,79.6,45.4,7.82,22.46
3/25/2017,0.35,50.4,59.6,68.8,52.3,0.2,13.84
3/26/2017,0.05,43.8,51.8,59.9,47.3,0.1,4.54
3/27/2017,0.4,43.9,49.7,55.5,44.9,0.18,4.79
3/28/2017,0.14,46.2,49.7,53.2,46.8,0.15,2.62
3/29/2017,0.75,47.9,51,54.1,49.2,0.15,1.83
3/30/2017,0.25,47.5,54.5,61.5,51.6,0.11,3.1
3/31/2017,0.02,42.8,48.1,53.5,44.3,0.15,3.01
4/1/2017,0,42.9,46.1,49.2,40.9,0.85,3.04
4/2/2017,0.1,41.4,46.7,52,42.8,0.24,3.8
4/3/2017,0.3,50,58,65.9,54.3,0.07,6.32
4/4/2017,0.21,48.2,55.3,62.3,51.2,0.26,5.55
4/5/2017,1.38,44.4,48.3,52.3,47.1,0.06,2.32
4/6/2017,0.13,41.7,47.6,53.5,38.6,0.76,6.08
4/7/2017,0,36.4,47.9,59.4,32.6,1.36,11.1
4/8/2017,0,37.9,51.3,64.8,34.4,1.81,14.39
4/9/2017,0,55.1,66.3,77.6,54,4.01,18.12
4/10/2017,0,60.1,68.4,76.7,59.5,4.14,13.22
4/11/2017,0,37.9,54.7,71.6,39.3,0.94,20.26
4/12/2017,0,38.6,52.9,67.2,39.9,0.69,14.78
4/13/2017,0,49.8,63.5,77.1,52.5,2.24,18.11
4/14/2017,0.05,60.6,70.1,79.6,56.1,1.61,20.2
4/15/2017,0.06,61.5,70.7,79.9,55.6,1.98,21.83
4/16/2017,0.52,58.5,69.6,80.7,58.8,0.3,18.02
4/17/2017,0.09,52.7,62,71.3,50.4,0.56,14.32
4/18/2017,0,53.7,62.7,71.8,51,0.89,13.61
4/19/2017,0,56.3,67.2,78.1,59.6,0.62,15.22
4/20/2017,0.04,54.8,67.6,80.4,60.7,0.97,16.87
4/21/2017,0,47.9,58.1,68.2,46.1,1.32,12.72
4/22/2017,0,47.7,51.4,55.2,39.5,2.49,7.06
4/23/2017,0,41.8,53.9,66,32.9,2.36,16.38
4/24/2017,0,44.5,58.4,72.3,35.2,2.61,21.25
4/25/2017,0,49.2,62.7,76.2,40.1,3.85,23.96
4/26/2017,0.63,43.8,59.4,75.1,52,0.01,14.33
4/27/2017,0.08,41.3,44.6,48,38.9,0.59,2.86
4/28/2017,0.38,43.6,52.8,62.1,43.7,0.43,10.84
4/29/2017,0.63,44.9,54.9,64.8,51.2,0.04,5.04
4/30/2017,2.64,43.8,47.5,51.1,46.5,0.06,0.74
5/1/2017,0.35,40.7,50.6,60.4,45,0.02,6.21
5/2/2017,0,40,50.9,61.8,40.1,0.18,11.49
5/3/2017,0.2,51.2,59.1,66.9,45.9,0.82,13.68
5/4/2017,0.48,41,46.5,52,44.2,0.26,3.14
5/5/2017,0,46.2,57.1,67.9,40.8,1.34,14.63
5/6/2017,0,51.8,63,74.1,43.3,4,19.79
5/7/2017,0,52.5,65.2,77.8,45,4.24,23.11
5/8/2017,0,56.8,69,81.1,52.6,2.93,23.02
5/9/2017,0,64.8,74.3,83.8,59.1,4.96,22.7
5/10/2017,0,67,76.1,85.1,62.3,3.81,23.38
