Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,20.6,31.2,41.9,15.6,0.82,6.21
1/2/2017,0,24.4,31.6,38.8,22,0.37,4.43
1/3/2017,0,11.1,23,34.9,20.4,0.15,1.2
1/4/2017,0.02,5.8,13.7,21.5,0.6,0.53,2.24
1/5/2017,0.13,-0.2,5.8,11.8,0.6,0.24,1.07
1/6/2017,0,-13.8,-1,11.8,-8.9,0.19,1.21
1/7/2017,0,-12.2,2.3,16.9,-4.3,0.22,1.61
1/8/2017,0,-2.2,9,20.3,1.8,0.25,1.67
1/9/2017,0,13.7,23.2,32.6,14.1,0.52,2.55
1/10/2017,0,19,30.5,42.1,23.8,0.61,3.79
1/11/2017,0,21.6,32.4,43.2,23.4,0.8,4.83
1/12/2017,0.01,1.7,16.1,30.4,4.2,0.29,2.06
1/13/2017,0,3.6,12.8,22,6.3,0.34,1.89
1/14/2017,0,11.1,17.2,23.3,7.6,0.53,2.15
1/15/2017,0,15.8,26.3,36.8,15.9,0.52,4.4
1/16/2017,0.25,24.7,28.4,32.1,25.9,0.16,1.98
1/17/2017,0.3,22,27.8,33.5,25.7,0.2,1.74
1/18/2017,0,20.4,32.8,45.2,25.9,0.33,4.78
1/19/2017,0,25.3,36.7,48,32.7,0.12,3.86
1/20/2017,0,34.4,38.5,42.5,36.4,0.12,1.27
1/21/2017,0.04,32.3,36.8,41.3,35,0.08,1.01
1/22/2017,0,27.5,39.4,51.2,31,0.19,6.07
1/23/2017,0,24.4,37.2,49.9,26.2,0.34,6.95
1/24/2017,0,26.6,37,47.4,29.5,0.16,5.46
1/25/2017,0.2,20.9,26.4,31.9,25,0.16,0.95
1/26/2017,0,17.1,21.8,26.5,15.7,0.54,1.67
1/27/2017,0,15.3,24.4,33.6,14.4,0.58,3.35
1/28/2017,0,19.4,29.6,39.8,19.8,0.93,4.59
1/29/2017,0,26.6,36.1,45.5,24.2,1.16,6.12
1/30/2017,0,30.6,42,53.3,25.8,1.3,8.94
1/31/2017,0,29.5,44.8,60,23.7,1.28,13.44
2/1/2017,0,27.4,36.9,46.5,24.9,0.73,6.07
2/2/2017,0,14.8,21.3,27.8,14.2,0.6,2.04
2/3/2017,0.07,14.8,20.1,25.3,10.6,0.38,2.49
