Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,28,35.8,43.5,22.4,1.84,6.24
1/2/2017,0.02,28.6,38,47.3,22.5,0.96,7.41
1/3/2017,0.27,31.9,35.4,39,35,0.05,1.53
1/4/2017,0.57,38.4,40.9,43.5,40,0.05,0.87
1/5/2017,0,25.6,38.5,51.5,21.9,0.53,6.94
1/6/2017,0.02,25.4,28.6,31.8,13.4,0.38,3.88
1/7/2017,0,22,27.7,33.4,10.1,0.93,3.84
1/8/2017,0.23,12.8,17.8,22.9,11.3,0.36,2.13
1/9/2017,0,7,15.9,24.9,1.5,0.55,3.04
1/10/2017,0,7.2,15.3,23.4,5.3,0.32,2.37
1/11/2017,0.28,12.9,28.4,43.9,27.3,0.29,3.06
1/12/2017,0.28,39.7,46.2,52.7,40.6,0.19,5.63
1/13/2017,0,46.5,55.2,63.9,50.1,0.85,7.11
1/14/2017,0,25.8,35.9,46.1,17.9,1.88,6.24
1/15/2017,0.06,24.8,28.4,32,21.9,0.26,3.03
1/16/2017,0,20.3,29.8,39.3,19.8,0.41,4.27
1/17/2017,0,20.2,32.2,44.1,23.5,0.49,6.02
1/18/2017,0.38,36,37.6,39.2,34.9,0.12,2.35
1/19/2017,0.01,32.9,37,41.2,36.3,0,1.46
1/20/2017,0,32.8,40.6,48.5,33.3,0.17,4.36
1/21/2017,0.07,38.6,41.3,44.1,36.9,0.08,3.35
1/22/2017,0,41.2,46.5,51.8,43.2,0.04,3.05
1/23/2017,0,41.2,45.7,50.1,41.6,0.15,2.7
1/24/2017,1.26,34.4,38,41.6,32.5,0.29,3.32
1/25/2017,0.67,34.8,36.9,39.1,32.3,0.33,2.35
1/26/2017,0,37,42.3,47.5,33.1,1.3,4.86
1/27/2017,0,39.5,47.2,54.8,30.5,1.21,7.75
1/28/2017,0,33.5,38.3,43,22.1,2.72,5.4
1/29/2017,0,29.9,33.9,37.9,21.6,1.29,3.97
1/30/2017,0,28,35.8,43.5,17.7,1.33,6.87
1/31/2017,0,22.9,29.8,36.7,11.1,1.4,4.99
2/1/2017,0.08,23.5,28.8,34,24.3,0.2,2.24
2/2/2017,0,28,37.4,46.9,26.4,0.6,6.34
2/3/2017,0,23.2,33.9,44.7,16.8,1.3,7.04
2/4/2017,0,20,26.6,33.2,7.8,1.62,4.04
2/5/2017,0,20.3,27.6,34.9,8.3,1.48,5.01
2/6/2017,0,29.7,36,42.3,19.5,2.08,5.42
2/7/2017,0.07,30.6,39.7,48.9,23.7,0.52,7.98
2/8/2017,0.3,34.4,36.9,39.4,35.9,0.04,0.88
2/9/2017,0.37,28.8,45,61.2,33.6,0.08,9.83
2/10/2017,0.36,15.1,22.2,29.3,10.9,0.14,2.58
2/11/2017,0,19.5,26.8,34.1,13.5,1.02,4
2/12/2017,0.05,29.9,39.3,48.6,26,0.76,7.29
2/13/2017,0.56,29.4,33.5,37.7,29.3,0.09,2.85
2/14/2017,0,24,30.8,37.5,18.8,0.99,4
2/15/2017,0,24.4,32.8,41.1,22.9,0.29,4.76
