Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,24.9,33.5,42.1,23,0.89,5.35
1/2/2017,0.12,28.7,37.7,46.8,25.9,0.37,6.65
1/3/2017,0.37,31.8,35.4,39,35.4,0,0.76
1/4/2017,0.15,36.6,39.1,41.6,39.1,0,0.4
1/5/2017,0.03,24.9,36.3,47.7,19.6,0.34,6.35
1/6/2017,0,21.7,25.6,29.4,15.8,0.11,3.15
1/7/2017,0,17.7,22.1,26.5,8.4,0.98,2.5
1/8/2017,0,15,18.7,22.3,4.1,1.3,2.25
1/9/2017,0,11.5,16.5,21.5,2.4,0.79,2.39
1/10/2017,0.06,11.8,17.7,23.6,6.4,0.54,2.47
1/11/2017,0.31,17.8,25.9,34.1,20.8,0.34,3
1/12/2017,0.19,28,37.5,47,37.5,0.09,2.2
1/13/2017,0,38.8,49,59.3,48,0.08,4.25
1/14/2017,0,29.3,35.9,42.6,19.9,2.19,5.15
1/15/2017,0,25.7,28.4,31.1,24.5,0.1,2.55
1/16/2017,0,19.5,28.2,37,19.3,0.25,3.88
1/17/2017,0,17.1,27.1,37.1,26.3,0.12,3.12
1/18/2017,0.07,34.1,36.6,39,36.6,0.01,0.42
1/19/2017,0,36,41.9,47.7,38.7,0.04,2.85
1/20/2017,0.18,29.3,38.2,47.1,32.6,0.15,4.22
1/21/2017,0.07,30.1,34.9,39.7,34.9,0,0.62
1/22/2017,0.02,38.4,41.3,44.2,41.3,0,0.19
1/23/2017,0.49,40.1,44.4,48.7,44.3,0,0.92
1/24/2017,0.18,34.4,37.8,41.2,35.6,0.05,0.9
1/25/2017,0.01,34.5,38.6,42.8,34.1,0,2.76
1/26/2017,0.01,33.8,43.5,53.2,34.9,0.02,7.37
1/27/2017,0,34.8,42.3,49.8,29.5,0.16,5.94
1/28/2017,0,31.7,35.3,38.9,22.5,1.55,3.87
1/29/2017,0,29.8,33.6,37.4,23.7,0.94,3.48
1/30/2017,0,23.2,30.5,37.9,20,0.63,4.07
1/31/2017,0,19.4,26.6,33.9,17.3,0.22,3.25
2/1/2017,0,26.2,33.1,40,23.9,0.92,3.79
2/2/2017,0,28.2,36.3,44.4,27.1,0.36,4.92
2/3/2017,0,20.9,30.7,40.5,16,0.59,4.65
2/4/2017,0,16.4,22.8,29.2,8,1,3.25
2/5/2017,0,16.7,25.1,33.4,9.3,0.88,4.48
2/6/2017,0,26.8,35.3,43.8,20.5,1.23,5.82
2/7/2017,0.09,29.1,40.5,52,28.9,0.31,8.3
2/8/2017,0.22,35.8,41.9,48,41.7,0,0.87
2/9/2017,0.36,30.8,44.2,57.6,36.8,0.1,7.29
2/10/2017,0.01,19.9,23.5,27.1,11.3,0.31,2.53
2/11/2017,0,19.5,24.6,29.7,15.2,0.55,2.88
2/12/2017,0,22.5,35.7,49,28.6,0.09,6.76
2/13/2017,0.08,29.9,35.1,40.2,29.9,0,3.6
2/14/2017,0,22.5,29.3,36.1,18.3,0.53,3.82
2/15/2017,0,25.1,35.8,46.6,24.9,0.41,6.76
2/16/2017,0,28.3,36.6,45,21.7,0.57,5.69
2/17/2017,0,26,30.6,35.1,14.4,1.83,4.06
2/18/2017,0,21.7,32.2,42.7,18.6,0.37,6.17
2/19/2017,0,26.2,47,67.8,31.7,0.51,17.47
2/20/2017,0,40.4,53.3,66.3,34.6,2.68,15.27
2/21/2017,0,32.3,44,55.6,22.7,2.53,10.38
2/22/2017,0,31,40.4,49.7,29,0.8,7.29
2/23/2017,0,38,49.1,60.2,39.7,0.24,9.12
2/24/2017,0,37,54.1,71.2,51,0.05,12.06
2/25/2017,0,48.8,62,75.1,55.3,0,16.64
2/26/2017,1,34,50.3,66.6,38.6,1.19,6.61
2/27/2017,0,24.5,32.3,40,17.8,0.68,5.17
2/28/2017,0,25.6,37.4,49.2,31.5,0.12,6.83
3/1/2017,0.03,38.4,49.4,60.4,45.2,0.39,10.38
3/2/2017,0.65,38.6,51,63.4,46.3,0.01,8.13
3/3/2017,0,28.8,36.2,43.5,15.8,2.73,6.45
3/4/2017,0,21.4,28.7,36,10.2,0.78,4.62
3/5/2017,0,14.9,24,33.2,2.9,1.48,4.54
3/6/2017,0,13.5,24.9,36.3,4.4,0.79,5.86
3/7/2017,0.15,25.7,38.3,51,27.9,0.15,8.13
3/8/2017,0.22,38.3,47,55.8,45.9,0.09,2.04
3/9/2017,0,43.5,52.1,60.7,22.6,1.84,14.44
3/10/2017,0.08,38.4,50.5,62.6,24.2,1.96,15.52
3/11/2017,0.12,17.1,27,37,14.6,0.09,3.86
3/12/2017,0,17.2,23.1,29.1,4.6,1.17,3.62
3/13/2017,0,16,23.8,31.7,8.4,0.92,3.77
3/14/2017,0.99,21.1,28.8,36.5,16.9,0.08,4.82
3/15/2017,0.74,15.9,23.4,30.9,18.7,0.06,1.39
3/16/2017,0,19.8,24.5,29.3,12.2,0.98,2.91
3/17/2017,0,14.9,26,37.2,12.8,0.49,4.72
3/18/2017,0,28.1,36.1,44.1,20.3,0.66,6.89
3/19/2017,0.02,32.4,34.8,37.3,32.6,0.13,1.44
3/20/2017,0,27.2,36.3,45.5,27.8,0.6,4.89
3/21/2017,0.02,28.8,37.6,46.4,28.3,0.14,6.57
3/22/2017,0,29.3,43.1,57,31.6,0,8.78
3/23/2017,0,23.4,30.7,38,3.7,2.42,6.09
3/24/2017,0,20.9,32.2,43.5,12.9,0.67,7.53
3/25/2017,0.01,33.9,44.8,55.7,36.8,0.47,6.89
3/26/2017,0,41.5,56.7,71.8,44.8,0.83,13.43
3/27/2017,0.19,38.9,41.2,43.6,39.3,0,1.78
3/28/2017,0.05,38.9,48.5,58.1,48.4,0,2.65
3/29/2017,0.42,45.9,51,56.1,48.1,0.36,3.16
3/30/2017,0,34.4,45.5,56.6,28.7,1.82,9.84
3/31/2017,0.18,36.2,41.4,46.6,32.3,0.03,5.83
4/1/2017,0.25,37,40,43.1,39.5,0.05,0.54
4/2/2017,0,34.4,42.3,50.1,36.4,0.22,4.51
4/3/2017,0.13,34.7,48.2,61.8,33.1,0.02,13.15
4/4/2017,0.2,46.7,56.3,65.9,44.6,0.16,12.4
4/5/2017,0,49.8,61.5,73.2,47.1,0.36,16.27
4/6/2017,1.45,43.2,54.4,65.6,42.9,0,12.09
4/7/2017,1.37,39.3,44.6,50,40.4,0,3.65
4/8/2017,0,34.7,39.8,45,27.9,1.72,4.52
4/9/2017,0,30.4,44.7,59.1,20.2,0.96,14.16
4/10/2017,0,39,54,68.9,31,1.1,18.97
4/11/2017,0,46,62.7,79.4,43.1,0.83,25.84
4/12/2017,0,55.6,69.8,84,48.7,2.48,30.9
4/13/2017,0,43,57.7,72.4,38,2.28,20.21
4/14/2017,0,42.2,52.1,62.1,29.6,3.12,13.39
4/15/2017,0,44,55.2,66.5,34.9,1.4,15.78
4/16/2017,0.11,49.2,59.3,69.4,50.5,0.19,11.41
4/17/2017,0.05,53.7,68.6,83.6,56.3,0,25.98
4/18/2017,0,42.1,56.7,71.3,36.1,1.66,20.09
4/19/2017,0,45.4,57,68.7,37.7,1.34,17.72
4/20/2017,0.28,47.3,52.1,56.9,47.3,0.14,6.17
4/21/2017,0.08,53.6,64.4,75.1,57.7,0.03,12.9
4/22/2017,0.05,49,56.9,64.8,54.6,0,4.61
4/23/2017,0.07,35.8,45.5,55.2,40.6,0.31,5.74
4/24/2017,0.03,41,53,65,40.4,0.18,14.33
