Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0.05,28.2,35.7,43.3,27.2,0.51,5.91
1/2/2017,0.11,31.8,38.4,45,30.6,0.45,4.74
1/3/2017,0.1,38.5,42.7,46.9,42.2,0.16,1.53
1/4/2017,0.66,40,44.1,48.1,43.7,0.25,0.98
1/5/2017,0,21.2,32.1,42.9,14.2,1.31,5.35
1/6/2017,0.11,10.2,17.3,24.4,12.5,0.27,1.86
1/7/2017,0,7.3,12.9,18.6,2.1,0.49,1.84
1/8/2017,0,8.1,13,17.9,2.1,0.55,1.66
1/9/2017,0,5.5,11.2,17,0.5,0.44,1.81
1/10/2017,0.03,10.2,20,29.7,7.5,0.43,3.44
1/11/2017,0.13,26.9,38.6,50.3,34,0.36,4.61
1/12/2017,0.18,35.1,48.1,61.1,43.5,0.43,6.79
1/13/2017,0.48,34.8,49.7,64.6,43.8,0.6,6.74
1/14/2017,0,28.7,32.9,37.1,19.8,1.75,3.61
1/15/2017,0.01,26.8,31.7,36.6,25.8,0.73,2.77
1/16/2017,0,24.6,30.1,35.6,21.7,0.55,3.17
1/17/2017,0.07,25.4,33.1,40.7,32.9,0.25,2.59
1/18/2017,0.06,39.8,50.3,60.8,46.6,0.29,5.1
1/19/2017,0.01,38.3,41.5,44.7,34.9,0.94,2.68
1/20/2017,0.04,32.8,38.4,44.1,33.2,0.49,3.13
1/21/2017,0.16,34.2,43.9,53.7,44,0.07,2.73
1/22/2017,0.02,40.6,52.2,63.9,48.2,0.14,8.57
1/23/2017,0.03,44.1,53,61.9,46,0.3,8.08
1/24/2017,1.08,34.6,42.5,50.4,36.4,0.3,4.12
1/25/2017,0.04,35.7,39.3,42.9,34.9,0.46,2.81
1/26/2017,0.21,37.4,45.2,53,37.6,0.92,6.33
1/27/2017,0.05,31.8,35.7,39.6,28.3,1.07,2.92
1/28/2017,0.06,29.2,31.4,33.7,22.7,0.9,2.63
1/29/2017,0.01,26.8,30.5,34.2,21.6,0.75,2.79
1/30/2017,0.1,25.5,29.8,34.1,19.6,0.64,3.69
1/31/2017,0.04,25.2,27.8,30.4,15.7,0.89,2.48
2/1/2017,0.05,31.6,35.7,39.8,28.9,0.7,3.19
2/2/2017,0.03,32.3,36.1,39.8,28.1,0.83,3.29
2/3/2017,0.01,21.1,28.3,35.5,13,1.23,4.42
2/4/2017,0,17.8,22.8,27.7,8.6,1.38,2.93
2/5/2017,0,16.4,24.7,33.1,8,0.95,4.12
2/6/2017,0,27.3,36.2,45.2,23.1,1.03,5.76
2/7/2017,0.19,27.3,41,54.6,34.7,0.43,8.52
2/8/2017,0.31,44.7,54.1,63.5,48.8,0.29,8.83
2/9/2017,0.39,24.2,37.1,49.9,30.9,0.23,3.93
2/10/2017,0.01,17.1,21.6,26,10.8,0.63,1.96
2/11/2017,0,15.9,27.3,38.6,15.5,0.8,3.63
2/12/2017,0.2,34.6,44.8,54.9,39.1,0,6.84
2/13/2017,0.08,29.4,42.3,55.3,32.8,0.41,4.05
2/14/2017,0,26,32.8,39.5,19.1,1.12,4.69
2/15/2017,0,28.6,38.9,49.1,26.2,1.07,7.41
2/16/2017,0.05,22.4,30.8,39.2,21.3,0.37,3.81
2/17/2017,0,19.5,24.9,30.3,16.4,0.53,2.61
2/18/2017,0,26.4,39.5,52.7,26.8,1.2,8.54
2/19/2017,0,35.3,50.9,66.5,36.1,0.55,15.8
2/20/2017,0,35.7,49.4,63.1,40,0.14,12.27
2/21/2017,0,35.3,47.9,60.4,34.1,0.38,11.5
2/22/2017,0,41.3,53.4,65.4,38.6,1.61,13.55
2/23/2017,0,49.6,57.9,66.2,48.6,0.65,11.11
2/24/2017,0,50.9,59.2,67.6,52.3,0.49,9.58
2/25/2017,0.17,51,63.1,75.3,49,1.2,18.51
2/26/2017,0.17,28.1,42.3,56.6,26,1.09,6.33
2/27/2017,0,28.1,33.9,39.7,15.8,1.54,5.51
2/28/2017,0.02,33.6,39.8,46.1,33.2,0.26,5.9
3/1/2017,0.39,40.1,49.9,59.7,47.3,0.69,7.13
3/2/2017,0.78,31.7,46.5,61.2,39.2,0.6,6.76
3/3/2017,0.01,26,31.6,37.3,20.5,0.57,4.02
3/4/2017,0,20.7,26.6,32.5,12.2,1.17,3.39
3/5/2017,0,17.6,25.6,33.6,8.2,1.17,4.38
