Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,18.4,31.4,44.5,23.3,0.13,5.13
1/2/2017,0,20.1,30,39.9,25.5,0.2,4.08
1/3/2017,0.31,33.6,37.7,41.8,37.7,0.09,1.06
1/4/2017,0.39,13.6,27.7,41.9,27.7,0.07,1.02
1/5/2017,0,8.8,14.5,20.2,7.7,0.25,1.49
1/6/2017,0,0.7,7.3,14,2.7,0.24,0.99
1/7/2017,0,-0.8,4.9,10.5,-2.5,0.21,0.97
1/8/2017,0,0.2,9.1,18,2.4,0.31,1.39
1/9/2017,0,2.7,12.6,22.5,4.3,0.38,1.77
1/10/2017,0,20.2,29.9,39.6,21.7,0.75,2.9
1/11/2017,0.28,28.2,39.7,51.2,34.7,0.26,1.95
1/12/2017,0.61,30.5,43.7,56.9,39.3,0.08,2.5
1/13/2017,0.2,20.4,26.2,32,24.1,0.07,1.22
1/14/2017,0,21.5,25.2,29,21.3,0.51,1.52
1/15/2017,0,23.7,27.6,31.4,25.4,0.13,1.11
1/16/2017,0.02,25.5,30,34.6,28.3,0.14,1.77
1/17/2017,0.25,31.8,41.7,51.6,39.4,0.01,0.74
1/18/2017,0,33,39.3,45.6,36.8,0,0.48
1/19/2017,0,32.4,34.9,37.4,33.7,0.04,0.84
1/20/2017,1.16,33.7,37.3,40.9,37.3,0.05,1
1/21/2017,0.02,38.5,44,49.5,44,0.03,0.77
1/22/2017,0,35.6,48.4,61.3,45.4,0.02,6.15
1/23/2017,0,36.5,41.4,46.2,40.1,0.12,0.77
1/24/2017,0,36.5,39,41.6,36.6,0.19,1.57
1/25/2017,0,36.8,37.8,38.9,34.3,0.54,1.36
1/26/2017,0,32.6,39.8,47,35,0.14,2.19
1/27/2017,0.01,27.5,30.2,32.9,28.1,0.06,1.11
1/28/2017,0,24.7,27,29.2,22.5,0.43,1.19
1/29/2017,0,25.1,27.8,30.4,23.5,0.21,1.37
1/30/2017,0,14.2,21.3,28.4,17.6,0.31,1.76
1/31/2017,0,15.4,27.1,38.7,22.4,0.43,2.72
2/1/2017,0,32.2,36.4,40.5,31.3,0.32,2.88
2/2/2017,0,15.9,27.3,38.8,21.7,0.21,3.35
2/3/2017,0,15.6,21.1,26.6,9,0.85,2.75
2/4/2017,0,10.9,20.1,29.2,7.5,0.29,3.65
2/5/2017,0,12.3,23.1,33.9,12.4,0.43,4.22
2/6/2017,0,24.6,33.3,41.9,24.3,0.25,4.44
2/7/2017,0.44,26.7,40.2,53.6,40.2,0.06,5.09
2/8/2017,0.22,30.1,44.7,59.3,41.7,0,2.98
2/9/2017,0.14,13.5,22.4,31.3,21.4,0.04,1.28
2/10/2017,0,10.2,16.7,23.2,7.4,0.48,1.94
2/11/2017,0,21.4,31.7,42.1,29.7,0.57,2.78
