Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,15.8,25.6,35.4,20.4,0.22,2.77
1/2/2017,0,17.3,27.4,37.4,22.6,0.28,3.41
1/3/2017,0,31.9,35.1,38.3,35.1,0.02,0.84
1/4/2017,0,8.3,22,35.6,22,0.04,0.9
1/5/2017,0,5.2,10.7,16.1,1.2,0.46,1.41
1/6/2017,0,-1.6,5.8,13.2,-2.3,0.33,1.19
1/7/2017,0,-1.7,2.9,7.5,-6,0.3,0.96
1/8/2017,0,-0.3,8,16.3,-1.1,0.33,1.62
1/9/2017,0,0.1,10.1,20.2,3.7,0.34,1.68
1/10/2017,0.03,17.3,26.8,36.4,22.7,0.32,1.9
1/11/2017,0.2,23.5,35.8,48.1,29.7,0.28,1.47
1/12/2017,0.12,20.1,29.4,38.7,29.3,0.02,1.11
1/13/2017,0,14.5,19.1,23.6,13.5,0.29,1.59
1/14/2017,0,13.8,19.3,24.7,14.5,0.47,1.32
1/15/2017,0,17.2,23.8,30.4,19.9,0.29,1.74
1/16/2017,0.1,19.2,26.7,34.2,22.7,0.34,3.31
1/17/2017,1.35,30.9,33.9,36.8,33.9,0.03,0.71
1/18/2017,0.02,32,34.1,36.1,34.1,0,0.27
1/19/2017,0,29.8,32.7,35.5,32,0.03,0.86
1/20/2017,0.21,32.1,35.3,38.5,35.3,0,0.28
1/21/2017,0.02,36.7,41.2,45.8,40.8,0,0.37
1/22/2017,0,31.5,43.4,55.4,41.7,0,4.31
1/23/2017,0,31.4,35.6,39.7,35.6,0,0.71
1/24/2017,0,34.5,37.4,40.3,35,0.09,1.3
1/25/2017,0.09,33.6,35,36.4,32.7,0.19,1.03
1/26/2017,0.07,29.1,33.6,38,33.5,0,0.85
1/27/2017,0,25.2,28.8,32.4,25.7,0.33,1.28
1/28/2017,0,22.5,24.5,26.4,20.2,0.46,1.2
1/29/2017,0,24.6,25.8,27.1,20.9,0.5,1.31
1/30/2017,0,11.8,18.7,25.6,14.3,0.37,1.96
1/31/2017,0,11.5,24.7,38,22.9,0.36,2.34
2/1/2017,0,30.8,35.1,39.5,30.2,0.43,2.83
2/2/2017,0,13.1,24.2,35.2,16.4,0.6,3.42
2/3/2017,0,12.8,17.8,22.8,6.8,0.57,2.09
2/4/2017,0,10.7,19.1,27.4,5,0.57,3.24
2/5/2017,0,11.5,21.4,31.4,13,0.58,3.53
2/6/2017,0,22.7,29.6,36.5,22.5,0.35,2.84
2/7/2017,0.36,24.9,38.6,52.3,37.9,0.05,4.48
2/8/2017,0.1,27,36.2,45.5,34.3,0.04,1.51
2/9/2017,0,11.8,19.7,27.7,13.3,0.65,1.54
2/10/2017,0,11.7,17.4,23.1,7.2,0.78,2.05
2/11/2017,0,21,31.1,41.2,28.5,0.31,2.74
2/12/2017,0,31.8,40.4,49.1,34.5,0.27,4.35
2/13/2017,0,23.9,34.2,44.4,24.9,0.44,5.48
2/14/2017,0,23.9,33.6,43.4,25.6,0.45,4.88
2/15/2017,0,25.1,36.3,47.6,26.4,0.76,5.05
2/16/2017,0,26.9,32.3,37.6,18.1,1.56,4.55
2/17/2017,0,29.4,35.4,41.3,23.3,0.77,4.79
2/18/2017,0,28.8,46.5,64.1,35.5,0.63,11.77
2/19/2017,0,33.1,49.5,65.9,36.2,0.5,14.05
2/20/2017,0,33,49.4,65.8,39.2,0.4,13.27
2/21/2017,0.07,43.4,55.7,67.9,49.5,0.26,10.12
2/22/2017,0,45.4,54.8,64.1,49.7,0.09,8.52
2/23/2017,0,41.7,54.4,67.2,51,0.08,8.58
2/24/2017,0.25,36.2,42.5,48.8,38.1,0.25,2.94
2/25/2017,0.04,20.3,29.2,38.1,29.2,0.21,0.82
2/26/2017,0,19.7,23.5,27.3,16.9,0.38,1.73
2/27/2017,0,25.7,36.2,46.6,25.2,0.32,6.57
2/28/2017,0,27.7,40.2,52.7,36.3,0.45,7.02
3/1/2017,0.77,41.8,50.1,58.5,50.1,0.08,2.11
3/2/2017,0.04,27.4,34.1,40.8,30.8,0.07,1.47
3/3/2017,0,18.9,25.7,32.5,17.8,0.68,2.48
3/4/2017,0.08,18.5,25.4,32.4,15.8,0.32,3.43
3/5/2017,0,26.8,34.7,42.6,28,0.39,3.59
