Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,23.4,31.9,40.3,21.1,1.02,5.21
1/2/2017,0.03,29.9,37.5,45.1,21.5,1.34,6.57
1/3/2017,0.18,31.1,33.7,36.3,33,0.19,0.92
1/4/2017,0.49,36.1,38.2,40.3,37.8,0.06,0.41
1/5/2017,0,21.4,34.8,48.2,20.6,0.32,5.82
1/6/2017,0.03,21.3,25.1,28.9,13.3,0.33,3.08
1/7/2017,0,18.6,23.9,29.2,9.1,0.96,3.02
1/8/2017,0.05,11.4,15.5,19.5,8.4,0.42,1.76
1/9/2017,0,4.9,13.3,21.7,0.3,0.46,2.61
1/10/2017,0,6.3,13.1,19.9,4.1,0.36,1.8
1/11/2017,0.28,12.1,25.8,39.4,23.9,0.38,2.72
1/12/2017,0.26,36.4,43.4,50.3,38.6,0.18,4.6
1/13/2017,0.02,43.6,51.9,60.2,48.7,0.72,4.97
1/14/2017,0,23.7,33.9,44,17.4,1.41,5.64
1/15/2017,0.11,22.6,26.1,29.7,21.2,0.25,2.39
1/16/2017,0,19.1,27.5,35.8,17.8,0.55,3.34
1/17/2017,0,18.6,30.1,41.6,22.7,0.49,5.09
1/18/2017,0.34,33.7,35,36.4,33.4,0.05,1.69
1/19/2017,0,33.7,36.6,39.6,35.3,0.11,1.05
1/20/2017,0,33.4,38,42.5,32,0.43,2.65
1/21/2017,0.18,34.3,37.7,41.1,35.9,0.05,2.09
1/22/2017,0,37.4,43.6,49.7,41.9,0,2.32
1/23/2017,0,38,42.4,46.9,41.1,0.01,1.5
1/24/2017,1.38,31.8,35.1,38.4,31.4,0.11,2.12
1/25/2017,0.17,32.1,34.5,36.8,30.7,0.14,1.8
1/26/2017,0,34.6,40.9,47.3,32,0.75,4.76
1/27/2017,0,36.1,44.3,52.6,29.2,0.59,6.91
1/28/2017,0,30.3,35.3,40.2,21.3,1.95,4.33
1/29/2017,0,27.7,31.1,34.5,21.5,0.91,2.91
1/30/2017,0,25.1,32.5,39.9,17.3,0.96,5.52
1/31/2017,0,19.8,26.9,33.9,11.9,0.78,4.04
2/1/2017,0.07,20.6,27.6,34.6,22.2,0.16,2.29
2/2/2017,0,26.7,35.3,44,24.9,0.67,5.4
2/3/2017,0,19.9,30.5,41,15.3,1,5.51
2/4/2017,0,16.2,23.1,30,6.9,1.19,3.31
2/5/2017,0,16.4,23.9,31.4,7.9,0.92,4.16
2/6/2017,0,25.3,32.2,39,18.3,1.43,4.56
2/7/2017,0.08,29.2,37.8,46.3,21.6,0.66,7.05
2/8/2017,0.28,33.3,38.5,43.6,33.1,0.23,1.84
2/9/2017,0.46,27,43.2,59.5,33,0.04,9.26
2/10/2017,0.15,14.2,20.6,27.1,7.8,0.16,2.43
2/11/2017,0,17.2,23.6,30,12.2,0.67,3.49
2/12/2017,0.11,27.6,38.1,48.6,24.7,0.58,7.54
2/13/2017,0.56,27.5,31.3,35.1,28.1,0.08,2
2/14/2017,0,23.5,28.6,33.8,18,0.93,2.99
2/15/2017,0,23.4,30.8,38.2,21.6,0.36,3.96
2/16/2017,0.02,24.7,35.6,46.6,23.8,0.25,5.74
2/17/2017,0,22.2,27.1,31.9,12.9,1.24,3.35
2/18/2017,0,21.9,30.8,39.7,15.9,0.61,5.52
2/19/2017,0,30,45.7,61.4,29.4,1.96,12.58
2/20/2017,0,36.5,49.4,62.3,32,1.57,13.26
2/21/2017,0,26.8,39.1,51.3,16.9,1.67,10.46
2/22/2017,0,28.8,37.9,46.9,28.1,1.17,6.21
