Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,38.1,47.6,57.2,40.1,0.39,7.41
1/2/2017,0,38.9,45.3,51.7,37.8,0.43,5.53
1/3/2017,0.39,40.1,44.8,49.5,40.5,0.39,3.64
1/4/2017,1.2,44.3,47.2,50.1,46.2,0.25,1.08
1/5/2017,0.17,43,48.8,54.6,46.7,0.37,3.21
1/6/2017,0,32.9,41.4,49.8,29.6,0.64,6.41
1/7/2017,0.61,31.5,39.1,46.7,29.7,0.5,5.51
1/8/2017,1.97,37.7,47.2,56.6,47.2,0.06,1.12
1/9/2017,1.57,53,56.8,60.6,55.7,0.36,2.8
1/10/2017,0.67,50.1,53.4,56.6,48.4,0.38,4.58
1/11/2017,1.92,50.4,53.2,55.9,50.6,0.29,2.77
1/12/2017,0.35,45,50.8,56.5,43.6,0.34,6.46
1/13/2017,0.07,36.7,43.1,49.4,41.3,0.12,3.07
1/14/2017,0,36.3,47.2,58.1,35.5,0.85,9.21
1/15/2017,0,35.8,44.7,53.6,38.6,0.15,5.62
1/16/2017,0,33.9,42.1,50.4,38.3,0.11,3.88
1/17/2017,0,32.9,42.3,51.7,37,0.11,4.71
1/18/2017,0.06,33.1,39,44.9,39,0.12,1.08
1/19/2017,1.25,42.3,45.7,49.2,44.8,0.11,1.44
1/20/2017,0.79,44.5,50.7,56.9,45.5,0.23,5.49
1/21/2017,0.27,43.9,49,54.2,43.5,0.43,4.82
1/22/2017,1.02,44.9,49.6,54.3,45.3,0.36,3.79
1/23/2017,0.32,40.7,48.7,56.7,43.9,0.01,5.89
1/24/2017,0.02,38.6,46,53.4,40.2,0.17,5.75
1/25/2017,0,34.8,44.8,54.7,38.7,0.18,6.44
1/26/2017,0,34,43.7,53.4,38.9,0.25,5.12
1/27/2017,0,38.6,47.8,56.9,37.9,0.64,7.58
1/28/2017,0,35.2,47,58.9,35.4,0.38,10.35
1/29/2017,0,34.6,47,59.3,37.6,0.29,9.22
1/30/2017,0,34,47.4,60.9,38.2,0.26,9.87
1/31/2017,0,34.9,48,61.2,40,0.23,8.97
2/1/2017,0,35.9,46.9,57.9,41,0.3,6.52
2/2/2017,0.37,40,46.4,52.8,42.8,0.34,3.69
2/3/2017,0.73,45.6,52.9,60.2,50.7,0.19,4.4
2/4/2017,0.45,51.5,55.8,60,53,0.24,4.17
2/5/2017,0.03,47.4,53.6,59.7,50.2,0.32,4.43
2/6/2017,0.54,46.6,53.2,59.8,50.2,0.2,4.9
2/7/2017,1.27,53,55.5,58.1,53.4,0.37,1.74
2/8/2017,0.34,54.2,59.6,65,55.6,0.26,5.93
2/9/2017,0.18,57.4,60.3,63.2,58.9,0.18,2.25
2/10/2017,0.58,53.7,57,60.3,55.9,0.22,2.08
2/11/2017,0.02,47.4,55.6,63.8,48.2,0.53,9.67
2/12/2017,0,46.9,55,63.2,38.1,2.34,11.78
2/13/2017,0,42.6,54.3,66,37.9,0.68,14.64
2/14/2017,0,40.3,50.6,61,44.9,0.28,7.38
2/15/2017,0,41.2,54.2,67.2,45.4,0.53,12.65
2/16/2017,0.13,47.2,54.3,61.4,49.8,0.59,7.41
2/17/2017,0.28,50.5,57.9,65.3,49.5,0.82,9.97
2/18/2017,1.88,51.3,53.7,56,51,0.31,2.86
2/19/2017,0.15,46.7,53.9,61.1,47.5,0.34,6.41
2/20/2017,0.66,46.3,50.5,54.7,47.9,0.28,3.36
2/21/2017,1.19,51.5,54.4,57.3,52.2,0.24,3.44
2/22/2017,0.08,44.5,52.1,59.8,45.8,0.89,6.56
2/23/2017,0,38.1,47.4,56.7,35.7,1.19,9.21
2/24/2017,0,34.6,44.4,54.2,33.9,0.42,8.17
2/25/2017,0,33.6,43.8,53.9,35.5,0.39,7.2
2/26/2017,0,37.7,46.5,55.3,36.3,0.94,7.22
2/27/2017,0,34.4,46.7,59,36.5,0.62,10.04
2/28/2017,0,36.5,46.5,56.6,35,0.81,9.33
3/1/2017,0,36.6,48.2,59.8,34.3,1.03,11.53
3/2/2017,0,36.8,51.4,65.9,37.5,0.51,14.59
3/3/2017,0,37,52.5,68.1,40.8,0.35,14.86
3/4/2017,0,40.2,52.7,65.1,44.2,0.45,10.48
3/5/2017,0.23,45.6,53.6,61.6,45.7,0.81,7.57
3/6/2017,0.05,40.5,45.5,50.6,35.5,1.37,6.19
3/7/2017,0.02,38.8,46.8,54.9,40.7,0.32,5.76
3/8/2017,0,36.9,48.1,59.3,42.4,0.2,7.97
3/9/2017,0,43.1,56.3,69.5,47.4,0.52,12.71
3/10/2017,0,45.3,59.6,73.9,52.1,0.42,15.16
3/11/2017,0,49.3,61.9,74.5,52.3,0.58,16.28
3/12/2017,0,46.7,61.7,76.6,51.7,0.42,16.75
3/13/2017,0,48.1,63.6,79,47.1,1.39,23.18
3/14/2017,0,46,62.5,79.1,47,0.93,23.74
3/15/2017,0,48.4,64.1,79.8,52.7,0.94,19.88
3/16/2017,0,52.1,62.3,72.6,51.2,0.94,14.87
3/17/2017,0,49.4,61.5,73.7,52,0.85,14.21
3/18/2017,0,47.8,62.4,77.1,51.6,0.62,18.22
3/19/2017,0,53.5,62.4,71.3,48.6,1.21,14.49
3/20/2017,0,53.7,62.8,71.9,53.3,1.2,12.79
3/21/2017,0.94,52,58.3,64.7,52.4,0.43,8.5
3/22/2017,0.99,51.5,59.4,67.3,51.3,0.57,11.39
3/23/2017,0.11,43.6,53.6,63.5,46,0.48,10.38
3/24/2017,0.06,41.2,52.9,64.7,45.2,0.37,10.53
3/25/2017,0.22,49.9,52.2,54.5,50.1,0.42,2.12
3/26/2017,0,47.7,56.8,65.9,48.3,0.48,10.39
3/27/2017,0.05,47.9,55.4,62.8,47.9,0.79,8.94
3/28/2017,0,46.5,56.5,66.5,43.1,1.34,13.27
3/29/2017,0,50,61.4,72.8,41.2,3.38,18.84
3/30/2017,0,49.3,63.3,77.3,50.1,2.13,19.04
3/31/2017,0,51.7,59.6,67.5,33.6,4.53,16.98
4/1/2017,0.22,50.7,61.7,72.6,33.9,6.61,20.79
4/2/2017,0,51.2,66.3,81.3,44.8,1.6,26.92
4/3/2017,0,51.1,66.5,81.9,42.2,1.53,31.18
4/4/2017,0,51.6,64.5,77.4,34.2,3.89,27.45
4/5/2017,0,52.1,64,75.8,46.5,2.5,21.33
4/6/2017,0,51.8,63.8,75.9,38.6,2.86,23.57
4/7/2017,1.04,50.4,55.7,61.1,46.3,0.7,9.89
4/8/2017,0.61,46.4,54.4,62.4,49,0.77,6.69
4/9/2017,0.09,41.3,49.2,57.1,42.1,0.53,6.81
4/10/2017,0,39.9,51.9,63.9,40.4,0.38,11.98
4/11/2017,0.01,44,56.2,68.5,47.1,1.16,12.9
4/12/2017,0,53.2,59,64.9,50.7,1.19,9.25
4/13/2017,0.05,50.3,58,65.6,50.2,0.91,9.36
4/14/2017,0.15,43.4,52.9,62.5,42.9,1,9.67
4/15/2017,0,41.3,53.2,65.1,37.2,1.43,15.05
4/16/2017,0,43.5,56.8,70.1,42.1,1.46,17.36
4/17/2017,0.5,47.7,52.9,58.1,49.9,0.3,5.28
4/18/2017,0.07,53.3,58.3,63.3,53.9,0.31,5.32
4/19/2017,0,48.8,60,71.3,49.9,0.43,13.32
4/20/2017,0.07,45.5,57.3,69.2,49.1,0.42,13.04
4/21/2017,0,49.5,60.2,71,44.9,0.5,17.58
4/22/2017,0,50,65.5,80.9,45.4,2.33,26.98
4/23/2017,0,50.8,62.2,73.6,47.4,2.37,16.41
4/24/2017,0,49.7,62.3,74.9,46.5,2.02,19.72
4/25/2017,0,52.6,60.2,67.9,47.3,3.61,10.87
4/26/2017,0,52,62,72,48,3.01,16.76
