Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0.04,27.1,36,45,28.1,0.39,6.02
1/2/2017,0.04,28.7,37.1,45.4,31,0.4,4.84
1/3/2017,0.28,39.7,45.5,51.2,45.5,0.2,0.99
1/4/2017,0.51,35.8,44.4,52.9,43.5,0.32,1.7
1/5/2017,0,18,26.3,34.6,12.7,1.03,2.7
1/6/2017,0.03,-0.6,10.6,21.9,8.8,0.22,1.13
1/7/2017,0,-0.1,7,14,0.1,0.22,1.22
1/8/2017,0,2.2,8.1,14.1,0.9,0.32,1.31
1/9/2017,0,5.8,11.1,16.4,3.4,0.4,1.43
1/10/2017,0.03,13.3,22.5,31.7,13.1,0.81,3.11
1/11/2017,0.23,30.1,39.3,48.4,33.7,0.47,3.22
1/12/2017,0.26,29,44.7,60.4,44.7,0.39,4.5
1/13/2017,0.34,30.7,47.4,64.1,41.1,0.56,5.15
1/14/2017,0,26.7,30.5,34.4,21.4,0.7,2.73
1/15/2017,0.12,27.3,29.9,32.5,27.2,0.28,1.57
1/16/2017,0,26.9,30.5,34,27,0.35,1.63
1/17/2017,0.14,30.3,40.3,50.2,38.6,0.15,1.57
1/18/2017,0.03,37.8,49.5,61.3,45.1,0.63,5.14
1/19/2017,0,36,38.9,41.7,34.7,0.37,2.47
1/20/2017,0.49,36.7,39.4,42.1,36.1,0.33,1.86
1/21/2017,0.11,37,47.7,58.5,45.2,0,4.54
1/22/2017,0.13,39.2,49.6,60,48,0.15,5.34
1/23/2017,0.06,40.9,51.6,62.2,47.2,0.06,8.03
1/24/2017,0.22,37.9,44.7,51.4,41.4,0.2,3
1/25/2017,0,32.5,37.6,42.6,35.6,0.2,1.94
1/26/2017,0.11,32.8,41.4,50.1,37,0.5,2.61
1/27/2017,0.06,30.5,34.4,38.3,28,0.38,2.38
1/28/2017,0,27.4,29.6,31.8,22.9,0.71,2.01
1/29/2017,0,26.6,29.6,32.5,22.7,0.72,2.06
1/30/2017,0.02,22.4,26.6,30.7,19.6,0.5,2.35
1/31/2017,0,22.6,30.2,37.9,17.1,0.96,2.8
2/1/2017,0.01,31.8,35.9,39.9,29.2,0.44,3.26
2/2/2017,0,26.8,32.7,38.6,27.1,0.48,2.76
2/3/2017,0,20,26.1,32.2,12.8,1.1,3.69
2/4/2017,0,13.8,20.2,26.6,9,0.74,2.57
2/5/2017,0,11.3,22.6,33.9,9.6,0.48,3.98
2/6/2017,0,23.4,35.3,47.2,23.9,0.43,6
2/7/2017,0.87,22.5,39.5,56.4,39.5,0.09,8.08
2/8/2017,0.1,42.5,51,59.4,49,1.16,4.13
2/9/2017,0.02,25.2,34.2,43.1,28.3,0.44,2.98
2/10/2017,0,14.1,19.3,24.5,9.3,0.69,1.73
2/11/2017,0,15.3,27.7,40.2,18.5,0.84,3.45
2/12/2017,0.27,37.5,47.9,58.3,43.6,0.17,7.04
2/13/2017,0,29.7,41.7,53.8,29.8,0.67,4.88
2/14/2017,0,25.3,34.4,43.4,21.4,0.65,5.95
2/15/2017,0,30.8,41,51.1,27.7,1.39,7.77
2/16/2017,0,25.1,30.2,35.3,18.1,1.43,3.43
2/17/2017,0,25,30.3,35.5,16.9,1.32,4.12
