Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,18.8,33.7,48.6,23.8,0.19,6.56
1/2/2017,0,18.9,30.8,42.8,28.4,0.22,4.52
1/3/2017,0.31,36.2,41.3,46.4,41.3,0,0.76
1/4/2017,0.11,13.4,27.5,41.6,25.5,0.14,1.42
1/5/2017,0.04,11.1,17,23,9.2,0.3,1.92
1/6/2017,0,0.4,8.2,16,4.1,0.25,1.13
1/7/2017,0,-1.9,4.7,11.3,-3.4,0.25,1.16
1/8/2017,0,0.1,10.8,21.5,3.8,0.25,1.72
1/9/2017,0,-0.1,12.3,24.6,8.7,0.21,1.69
1/10/2017,0,20.4,31.9,43.3,24.9,0.94,2.84
1/11/2017,0.02,25.7,41.8,57.8,35.4,0.28,5.55
1/12/2017,0.09,30.4,45.7,60.9,43.1,0,3.93
1/13/2017,0,19.5,26.3,33.2,22.3,0.27,1.38
1/14/2017,0.07,19.8,25.3,30.9,23.5,0.18,1.74
1/15/2017,0.02,28.5,29.8,31.2,29,0.17,0.6
1/16/2017,0.05,29.3,32.3,35.3,31.6,0.09,0.85
1/17/2017,0.12,34.6,44.4,54.3,44.5,0,1.71
1/18/2017,0,35.6,39.2,42.9,36.7,0.35,1.35
1/19/2017,0,34.4,39.6,44.9,34.8,0.47,3.13
1/20/2017,0.32,38.5,41.3,44.2,41.4,0.02,1
1/21/2017,0,41.9,47.2,52.5,47.2,0.03,1.86
1/22/2017,0,40,52.1,64.1,45,0.18,10.29
1/23/2017,0,37.3,44.6,51.9,39.7,0.16,3.46
1/24/2017,0,35.9,39.5,43.1,34.8,0.65,2.54
1/25/2017,0,36.1,41.2,46.3,35.2,0.7,3.22
1/26/2017,0,30.9,39.2,47.4,32.1,0.77,3.18
1/27/2017,0,28.7,30.9,33.1,24.5,1,1.92
1/28/2017,0,24.1,27.4,30.7,21.2,0.63,1.81
1/29/2017,0,28.5,34.1,39.7,25.1,0.87,3.44
1/30/2017,0,18,25.5,33,20.8,0.34,2.31
1/31/2017,0,17.8,32.1,46.4,27.5,0.3,5.15
2/1/2017,0,35.6,40.9,46.2,30.4,1.49,4.9
2/2/2017,0,20.8,31.6,42.4,22,1.01,4.74
2/3/2017,0,19.7,25.9,32.2,11.3,1.12,3.84
2/4/2017,0,13.8,23.3,32.8,8.5,0.49,4.55
2/5/2017,0,18.3,27.3,36.3,14.4,1,4.78
2/6/2017,0,28.2,38.1,48.1,26.3,0.75,6.42
2/7/2017,0.01,34.2,47.1,60,47.1,0.21,2.67
2/8/2017,0,29,45.5,62.1,39.1,0.81,5.28
2/9/2017,0.17,11.9,22,32.1,17.8,0.36,1.66
2/10/2017,0.01,11.7,19.5,27.3,10.2,0.58,2.4
2/11/2017,0,26.6,41.6,56.6,33.2,1.34,8.2
2/12/2017,0,38.1,51.6,65.1,48.2,0.41,7.67
2/13/2017,0,23.1,37.7,52.4,25.2,0.47,9.26
2/14/2017,0,23,35.3,47.6,25.1,0.5,7.52
2/15/2017,0,29.3,41.9,54.5,28,1.18,9.52
2/16/2017,0,23.6,34.6,45.6,17.6,0.81,7.7
2/17/2017,0,23.7,42.7,61.6,28,0.7,13.57
2/18/2017,0,43.2,57.6,72,34.6,3.7,20.28
2/19/2017,0,41.5,54,66.5,42.1,0.13,13.1
2/20/2017,0,41.6,55.4,69.1,48.2,0.06,12.78
2/21/2017,0.14,49.4,61.7,73.9,51.9,0.29,15.96
2/22/2017,0.03,47.2,55.5,63.7,54.2,0.03,4.25
2/23/2017,0,43.9,54.8,65.6,52.3,0.05,5.59
2/24/2017,0,44.6,53.4,62.3,52,0.08,4.72
2/25/2017,0,25.7,44.7,63.7,37,0.66,5.42
2/26/2017,0,20.9,28.6,36.3,14.6,0.92,4.44
2/27/2017,0,26.7,37.2,47.6,24.1,0.67,7.85
2/28/2017,0.03,34.6,47.8,61,41.1,0.57,11.55
3/1/2017,0.35,49.7,59.9,70.1,55.4,0.62,8.65
3/2/2017,0,30.3,39.8,49.3,31.8,0.92,3.85
3/3/2017,0,21.9,31.7,41.5,23.1,0.7,4.65
3/4/2017,0,22.1,31.2,40.3,17.8,0.84,5.59
3/5/2017,0,33.3,48.7,64.1,31.4,2.15,13.96
3/6/2017,0,45.6,53,60.4,41.8,2.15,9.85
3/7/2017,0.35,46.8,56.2,65.6,54.3,0.43,5.72
3/8/2017,0,37.9,46.9,55.9,27.9,2.35,10.52
3/9/2017,0,34.9,48.2,61.6,26.7,1.63,14.38
3/10/2017,0.03,29.1,44.8,60.6,29,1.6,11.79
3/11/2017,0,26.5,33.6,40.8,10.7,1.83,6.41
3/12/2017,0,23.2,29.3,35.4,8.3,1.45,5.1
3/13/2017,0.26,23.1,31.9,40.7,16.5,0.2,6.03
3/14/2017,0.06,23.9,28.4,33,26.6,0.22,1.26
3/15/2017,0,14.1,21.9,29.7,12.5,0.61,2.86
3/16/2017,0,14.6,24.8,34.9,13.5,0.56,4.33
3/17/2017,0.25,22.4,35.2,47.9,26.6,0.78,6.83
3/18/2017,0,35.5,50.8,66.2,38.7,0.96,11.58
3/19/2017,0,27.8,38.4,49,29.7,0.31,5.97
3/20/2017,0,28.3,42.8,57.4,34.9,0.29,9.55
3/21/2017,0,39,57,75,45.2,0.61,16.55
3/22/2017,0,29.2,45,60.8,30.6,0.82,13.52
3/23/2017,0,29.5,38.5,47.5,18.7,1.37,8.42
3/24/2017,0.14,35.2,43.9,52.6,38.6,0.78,3.84
3/25/2017,0.27,51.3,64.6,77.9,54.3,0.81,18.87
3/26/2017,0.14,51.3,57.8,64.3,55,0.34,5.07
3/27/2017,0,45.1,50.9,56.6,48.3,0.34,3.44
3/28/2017,0.16,46.9,51.9,56.9,50.5,0.31,1.96
3/29/2017,0,43,49.7,56.3,44.6,0.81,4.86
3/30/2017,0.78,45.1,50.3,55.5,48.9,0.03,3.33
3/31/2017,2.17,41.3,53.2,65,50.9,0,4.36
4/1/2017,0.02,35.4,40.5,45.6,38,0.32,2.15
4/2/2017,0,36.2,46.6,57.1,40.2,0.34,7.43
4/3/2017,0,43.4,53.8,64.1,47.1,0.84,8.77
4/4/2017,0.62,51.2,56.4,61.5,53.3,0.26,4.19
4/5/2017,0.7,45.4,53,60.5,47.9,0.31,6.7
4/6/2017,0.4,40.3,46.5,52.7,43.1,0.31,2.91
4/7/2017,0,35.2,44.7,54.3,33.8,1.55,7.59
4/8/2017,0,36.2,47.5,58.8,30.1,1.51,12.02
4/9/2017,0,43.3,57.8,72.3,43.6,3.24,15.87
4/10/2017,0,58,67.3,76.7,53.7,4.27,15.14
4/11/2017,0.14,46.3,60.4,74.5,52.2,1.26,12.65
4/12/2017,0,38.9,49.9,61,40.6,0.42,10.04
4/13/2017,0,41.5,55.6,69.6,44.6,0.4,15.02
4/14/2017,0,53.5,67.6,81.7,53.5,1.52,22.73
4/15/2017,0,58.5,70.5,82.6,57.4,2.67,22.73
4/16/2017,0.59,59.1,70.8,82.5,54.3,0.84,25.33
4/17/2017,0.08,53.5,61.7,69.9,52.2,0.89,11.01
4/18/2017,0,47.4,59.3,71.1,43.1,1.37,17.54
4/19/2017,0,51.1,64,76.8,55.2,0.79,16.55
4/20/2017,0,62.2,72.7,83.3,61.1,1.87,22.09
4/21/2017,0.02,45.3,61.6,77.8,50.7,2.03,13.61
4/22/2017,0,44,51.3,58.7,37.9,2.27,9.09
4/23/2017,0,37.5,50.5,63.6,33.8,1.67,13.32
4/24/2017,0,40.6,56.7,72.7,31.6,2.34,22.39
4/25/2017,0,45.7,61.9,78.1,34.6,2.4,28.04
4/26/2017,0,54.3,67.2,80.2,50.4,2.29,24.41
4/27/2017,1,43.9,58.1,72.4,55.5,0.04,11.98
4/28/2017,0.01,44,49.3,54.5,44.3,0.47,4.91
4/29/2017,0.75,49.7,54,58.2,53.5,0.28,2.53
4/30/2017,2.5,46.8,51.5,56.2,49.5,0.33,1.26
5/1/2017,0.32,49.4,58.7,68,55.5,0.17,6.2
5/2/2017,0,43.7,48.3,53,40.6,1.47,5.05
