Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,1.4,54.6,62.7,70.9,62.5,0.13,5.25
1/2/2017,1.79,63.8,70.4,77,66.8,0.22,5.66
1/3/2017,0.4,57.6,67.7,77.8,65.6,0.27,4.88
1/4/2017,0,55.9,65.1,74.2,56.1,0.47,14.73
1/5/2017,0,46.8,55.2,63.6,46.3,1,9.57
1/6/2017,0.18,47.2,57.5,67.8,52.5,0.56,7.23
1/7/2017,1.28,26.5,37.4,48.2,33.2,0.34,1.61
1/8/2017,0,26.1,33.2,40.3,17.9,1.31,5.25
1/9/2017,0,28.1,37.2,46.2,23.4,1.1,7.23
1/10/2017,0,40.7,51.6,62.5,45.3,1.45,9.27
1/11/2017,0,53.6,63.6,73.5,58.3,0.23,11.7
1/12/2017,0.27,58.1,65.4,72.8,63.2,0.25,6.22
1/13/2017,0,59.1,67.8,76.5,64.1,0.15,9.6
1/14/2017,0,57.8,66.4,75.1,62.3,0.35,9.54
1/15/2017,0,57.6,65.7,73.8,60.8,0.3,9.81
1/16/2017,0,59.1,65.6,72.2,62.8,0.25,7.36
1/17/2017,0.02,63.6,70.2,76.8,66,0.45,10.1
1/18/2017,0,66,72.5,79,66.9,0.41,12.54
1/19/2017,0.02,67.4,72.7,78.1,68.7,0.33,9.61
1/20/2017,0.29,61.9,68.6,75.4,64.8,0.36,6
1/21/2017,0.09,65.1,72.6,80.2,67.7,0.35,15.09
1/22/2017,0.51,60.8,70.1,79.5,66.4,0.46,12.18
1/23/2017,0.12,55.2,61.9,68.7,47.2,2.1,15.45
1/24/2017,0,47.6,57.9,68.3,45.6,0.78,13.07
1/25/2017,0,47.5,59,70.4,51.8,0.35,14.98
1/26/2017,0.02,55,66.3,77.5,58.2,0.53,12.3
1/27/2017,0,43.4,51.8,60.3,34.2,2.14,11.9
1/28/2017,0,43.3,48.7,54.1,28.9,3.39,9.98
1/29/2017,0,41.3,47.7,54.1,29.6,2.42,10.22
1/30/2017,0,40.4,52.7,64.9,33.3,1.56,15.66
1/31/2017,0,41.4,55.7,70,44.2,0.79,17.26
2/1/2017,0,51,62,73.1,52.9,0.69,14.56
2/2/2017,0,53.6,64.2,74.8,56.8,0.31,13.63
2/3/2017,0,54.5,64.9,75.4,59.7,0.31,13.14
2/4/2017,0,44.3,53.1,61.8,44.6,0.62,6.93
2/5/2017,0,43.7,52.5,61.2,40.9,1.11,10.19
