Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,16.6,26.2,35.9,19.2,0.29,3.2
1/2/2017,0,17.6,27.6,37.6,22.8,0.36,3.37
1/3/2017,0.06,32.5,35.1,37.7,34.2,0.03,1.26
1/4/2017,0,7.9,21.7,35.5,16.1,0.11,1.33
1/5/2017,0,7,11.4,15.9,1,0.43,1.5
1/6/2017,0,-0.9,6.4,13.7,-1.3,0.29,1.23
1/7/2017,0,-1.4,4.1,9.5,-4.1,0.33,1.18
1/8/2017,0,-0.5,10.1,20.7,1.8,0.23,1.88
1/9/2017,0,-1.1,11.8,24.7,6.4,0.24,2.03
1/10/2017,0,18.3,29.5,40.6,22.9,0.56,2.35
1/11/2017,0.11,24.2,35.5,46.9,28.1,0.42,1.57
1/12/2017,0,19.1,31,43,24.7,0.36,2.89
1/13/2017,0,14,19.4,24.8,8.7,0.67,2.43
1/14/2017,0,14.4,19.4,24.3,9.9,0.99,2.42
1/15/2017,0,19.6,26,32.4,17.7,0.51,2.91
1/16/2017,0.09,24,28.7,33.5,21.7,0.15,3.55
1/17/2017,0.72,31.8,34.4,36.9,34.3,0.01,0.4
1/18/2017,0,31.9,33.9,36,33.2,0.11,0.74
1/19/2017,0,28.9,35.3,41.8,31.3,0.07,2.07
1/20/2017,0.24,30.1,34.9,39.7,34.9,0.01,0.73
1/21/2017,0,35.6,41,46.4,40.6,0,0.89
1/22/2017,0,29.7,37.7,45.7,37.7,0.04,1.27
1/23/2017,0,30.8,35.4,39.9,34.4,0.02,1.24
1/24/2017,0,32.5,35.7,38.9,32.1,0.38,1.67
1/25/2017,0.03,32.2,35.1,38,32.6,0.24,1.47
1/26/2017,0.08,29.2,33.4,37.7,31.2,0.07,1.32
1/27/2017,0,22.9,27.7,32.4,23.5,0.6,1.71
1/28/2017,0,23.5,27.4,31.2,20.5,0.66,2.23
1/29/2017,0,24.2,28.3,32.5,22.1,0.58,2
1/30/2017,0,14.7,23.4,32.1,17.8,0.24,2.6
1/31/2017,0,17,30.8,44.6,28.2,0.21,4.04
2/1/2017,0,30.7,36.1,41.4,29.8,0.78,3.28
2/2/2017,0,15.4,26.5,37.6,16.3,0.64,4.18
2/3/2017,0,14.4,19.4,24.3,8.2,0.65,2.3
2/4/2017,0,13.2,21.4,29.5,6,0.64,3.84
2/5/2017,0,18.7,27,35.2,15.4,0.84,4.24
2/6/2017,0,23.9,31.1,38.3,22.1,0.52,3.79
