Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0.17,52.4,58.2,64.1,51.2,0.44,8.94
1/2/2017,0,47.5,51.6,55.8,46.7,0.51,4.62
1/3/2017,0,42,50.1,58.2,41.8,0.54,8.02
1/4/2017,0,41.9,50.7,59.5,43.1,0.52,8.6
1/5/2017,0,42.4,53.6,64.9,43.8,0.43,12.22
1/6/2017,0,44.9,56.4,67.9,45.7,0.97,13.24
1/7/2017,0,39.3,50.8,62.2,35,1.26,13.62
1/8/2017,0,38.3,51.2,64.1,36.1,1.42,13.77
1/9/2017,0,44,58.3,72.6,39.5,1.73,20.17
1/10/2017,0.02,48.1,56.8,65.5,45.8,1.1,11.35
1/11/2017,0,45.2,56.5,67.9,43.6,0.76,15.16
1/12/2017,0,45.1,55.1,65.1,42.7,0.99,12.16
1/13/2017,0,44.3,56.1,68,43.8,1.01,14.44
1/14/2017,0,49.1,55.7,62.3,43.3,2,10.35
1/15/2017,0,47.4,55.8,64.3,46.9,0.59,10.56
1/16/2017,0,47,53.7,60.4,48.6,0.33,6.77
1/17/2017,0,41.1,51.3,61.5,41.8,0.28,10.03
1/18/2017,0,39.2,50.9,62.5,40,0.58,10.96
1/19/2017,0,40,53,66,39.7,0.54,14.12
1/20/2017,0.04,45.5,53.4,61.2,43.4,0.56,10
1/21/2017,0.44,46.4,51.9,57.3,47.4,0.35,5.38
1/22/2017,0,42.1,50.8,59.5,38.1,1.02,10.54
1/23/2017,0,42.8,52.8,62.8,39.6,1.08,11.97
1/24/2017,0.11,41.4,52.3,63.2,43,0.76,10.68
1/25/2017,0,35.3,45.9,56.4,34,0.47,9.95
1/26/2017,0,33.2,44.9,56.6,30.6,0.4,11.03
1/27/2017,0,32.9,44.7,56.6,24.3,0.85,11.99
1/28/2017,0,34.7,46.2,57.7,12.7,3.07,14.24
1/29/2017,0,34.6,48.9,63.2,20.6,2.78,16.56
1/30/2017,0,37.3,54.4,71.4,24.9,2.77,22.37
1/31/2017,0,40.8,57.1,73.4,27.5,2.76,24.28
2/1/2017,0,39.5,55.8,72.1,30.8,2.05,21.67
2/2/2017,0,39.7,56.7,73.8,31,2.04,23.46
2/3/2017,0,43.2,57.4,71.6,33.6,2.88,20.53
2/4/2017,0,43.6,57.2,70.9,37,2.02,18.73
2/5/2017,0,42.3,58.8,75.3,35.9,1.8,23.71
2/6/2017,0,43.6,59.6,75.5,34.4,2.68,24.41
2/7/2017,0,49.4,59,68.6,40.5,2.63,15.34
2/8/2017,0,48.6,61.2,73.9,45.5,2,17.68
2/9/2017,0,48.9,62.6,76.3,47.8,1.46,19.6
2/10/2017,0,51.8,66.4,81,48.4,1.83,24.97
2/11/2017,0,52.5,68.1,83.7,48,2.36,28.56
2/12/2017,0.02,56.8,66.4,76.1,46.8,2.33,20.95
2/13/2017,0,55.4,63.1,70.8,50.4,2.09,14
2/14/2017,0,52.2,62.7,73.2,46,2.09,18.29
2/15/2017,0,51.4,62.2,73,41.8,2.45,20.57
2/16/2017,0,47.9,60.9,74,33.3,3.91,23.15
2/17/2017,0,46.7,60.9,75,33.3,3.95,24.04
2/18/2017,0,54.4,64.2,74,36.1,5.49,22.9
2/19/2017,0.65,50,56.9,63.8,49.1,0.48,10.62
2/20/2017,0.08,48.3,54.7,61,50.4,0.37,5.68
2/21/2017,0,47,57.6,68.3,49.8,0.29,12.43
2/22/2017,0,48.5,61.5,74.5,51.4,0.48,16.94
2/23/2017,0,49.4,63.6,77.7,44.3,0.92,22.61
2/24/2017,0,38.1,50.2,62.3,24.6,1.97,15.45
2/25/2017,0,36.3,49.3,62.4,25.2,1.45,15.84
2/26/2017,0,35.5,50.5,65.6,27.8,1.52,17.65
2/27/2017,0,46.9,57.1,67.4,33.2,2.95,17.56
2/28/2017,0.31,46.4,55.3,64.1,44.5,0.38,12.56
3/1/2017,0,43.8,54.4,65,45,0.59,12.7
3/2/2017,0,42.1,55.4,68.7,35,1.03,18.37
3/3/2017,0,43.2,59.1,75.1,27.5,3.43,25.6
3/4/2017,0,48.9,63,77,34.1,3.7,26.22
3/5/2017,0,48.1,63.1,78,37.2,3.06,26.49
3/6/2017,0,48.4,60.7,73.1,35.1,3.18,21.88
3/7/2017,0,43.1,54.4,65.7,26.7,2.79,17.84
3/8/2017,0,41.9,57.7,73.4,29.2,3.57,23.5
3/9/2017,0,45.4,63.6,81.7,34.5,3.59,31.41
3/10/2017,0,48.9,67,85,36.2,4.03,34.94
3/11/2017,0,51.1,69.5,87.9,37.2,4.25,38.55
3/12/2017,0,54.4,70.9,87.4,39,5.34,37.93
3/13/2017,0,56.9,72.7,88.6,38.9,6.95,39.06
3/14/2017,0,55.9,73.3,90.8,39.5,6.44,42
3/15/2017,0,56.7,74.9,93.2,38,7.02,46.31
3/16/2017,0,57.7,74.7,91.7,37.1,7.95,44.24
3/17/2017,0,56.8,74.4,92.1,36.8,7.45,44.98
3/18/2017,0,58.7,76.2,93.6,37,8.62,47.46
3/19/2017,0,59.6,77.3,95,35.7,8.96,49.88
3/20/2017,0,58.3,77.1,95.8,35.1,8.81,51.6
3/21/2017,0,61,77.7,94.5,37,10.14,48.65
3/22/2017,0,59.6,74.6,89.7,39.9,8.19,40.55
3/23/2017,0.02,54,67.2,80.5,47,2.16,24.62
3/24/2017,0,50.1,60.5,70.9,38.5,1.86,19.63
3/25/2017,0,48.4,63.4,78.3,34.2,3.4,27.84
3/26/2017,0,50.8,66.3,81.9,32.7,5.09,32.01
3/27/2017,0,50,65.8,81.6,32.9,5.2,31.58
3/28/2017,0,54.6,67.9,81.1,35.6,6.97,29.39
3/29/2017,0,54.2,66.2,78.1,28.7,8.35,27.56
3/30/2017,0,51.8,68.1,84.3,25,8.29,36.04
3/31/2017,0,52.8,70.3,87.7,23.3,8.18,40.9
4/1/2017,0,47.8,58,68.3,25.3,4.75,19.45
4/2/2017,0,46.9,60.1,73.3,29.8,4.61,22.7
4/3/2017,0,46.2,64.5,82.8,31.3,5.01,32.64
4/4/2017,0,53.2,69.1,85,32.1,7.75,35.65
4/5/2017,0,51.6,65.7,79.9,20.3,8.02,31.78
4/6/2017,0,50.8,67.3,83.7,20.9,8.25,35.88
4/7/2017,0,53.5,71.8,90.2,24.6,8.97,44.38
4/8/2017,0,57.3,74,90.7,22.6,11.04,45.69
4/9/2017,0,53.6,70.1,86.5,25.6,8.43,39.6
4/10/2017,0,48.8,64.3,79.8,21.9,7.14,31.06
4/11/2017,0,47.6,65,82.4,14.8,7.85,35.32
4/12/2017,0,50.2,69.1,87.9,18.6,9.12,41.85
4/13/2017,0,54.3,72.4,90.5,24.3,10.42,44.85
4/14/2017,0,56.3,74.2,92.1,29.5,8.75,46.77
4/15/2017,0,53.7,70.4,87.2,30.4,7.64,38.85
4/16/2017,0,53.9,70.2,86.4,25.1,8.98,39.09
4/17/2017,0,54.7,72,89.2,24.9,9.52,43.27
4/18/2017,0,58,74.6,91.2,27.2,10.84,45.9
4/19/2017,0,60.2,76.5,92.8,36.3,11.23,46.43
4/20/2017,0,58.6,74.1,89.7,30.3,10.44,43.05
4/21/2017,0,56.2,74.3,92.3,21,10.65,49.18
4/22/2017,0,57.8,75.7,93.6,20.2,12.3,51.05
4/23/2017,0,58.8,76.6,94.4,23.3,12.36,51.35
4/24/2017,0,60.9,80,99.2,25.3,12.86,59.81
4/25/2017,0,64.8,77.9,90.9,28.4,11.31,46.08
4/26/2017,0,60.3,73.8,87.3,32.6,10.84,39.68
4/27/2017,0,59.6,75.1,90.6,25.1,12.51,45.15
4/28/2017,0,66,78.5,91.1,37.2,13.97,43.43
4/29/2017,0,55.2,70.2,85.2,22.8,11.03,37.98
4/30/2017,0,52.8,66.8,80.7,17.9,10.02,32.61
5/1/2017,0,54.3,71.1,87.9,17.4,10.52,42.65
5/2/2017,0,56.5,75,93.4,20.2,11.67,50.72
5/3/2017,0,60.8,78.9,97.1,25.9,13.58,55.41
5/4/2017,0,66.7,83,99.3,30,17.1,58.77
5/5/2017,0,68,85.1,102.3,30.4,17.1,65.31
5/6/2017,0,68.8,87,105.2,31.6,17.56,71.31
5/7/2017,0,60.1,77.1,94.1,36.7,8.42,48.97
5/8/2017,0,55,63.8,72.6,30.8,8.47,22
5/9/2017,0.09,54.4,66.2,78,40.4,1.11,26.16
5/10/2017,0,53.9,63.6,73.4,44.3,1.23,20.57
5/11/2017,0,55,67,78.9,43.8,3.87,25.48
5/12/2017,0,58.8,74.8,90.7,44.3,6.85,39.76
5/13/2017,0,65.2,80.8,96.5,39.9,11.26,50.78
5/14/2017,0,65,80.8,96.5,32.6,14.85,53.45
5/15/2017,0,60.6,75.6,90.5,32.7,10.72,42.37
5/16/2017,0,55.7,69,82.3,34.1,8.49,31.34
5/17/2017,0,54.9,66.3,77.6,31.9,8.54,27.38
5/18/2017,0,58.3,71.7,85.1,37.1,8.79,34.42
5/19/2017,0,58.5,72,85.6,24.1,10.31,38.86
5/20/2017,0,57.9,72,86,22.6,10.96,39.12
5/21/2017,0,60.3,76.9,93.6,25.8,13.34,49.53
5/22/2017,0,64,81.9,99.7,26.5,15.17,60.63
5/23/2017,0,67.9,85.6,103.4,27.9,18.11,68.36
5/24/2017,0,71,87.9,104.7,26.1,20.63,71.55
5/25/2017,0,72.4,89.5,106.6,28.8,21.27,75.33
5/26/2017,0,68.5,83.8,99.1,27.1,16.51,60.56
5/27/2017,0,64.2,78.3,92.4,29.6,14.05,47.33
5/28/2017,0,64.3,80.2,96.1,29.5,14.93,53.36
5/29/2017,0,66.4,83.4,100.4,25.1,16.17,62.78
5/30/2017,0,68.9,85.6,102.2,25.9,19.09,66.5
5/31/2017,0,70,85.6,101.2,32.8,17.95,62.85
6/1/2017,0,68.8,83.9,99.1,38.3,15.78,56.78
6/2/2017,0,68.7,82.2,95.8,38.4,14.39,51.44
6/3/2017,0,68.3,84.3,100.4,38.3,13.94,59.78
6/4/2017,0,72.7,88.9,105.2,37,19.2,70.04
6/5/2017,0,76.3,91.3,106.2,36.4,23.76,72.3
6/6/2017,0,77.3,91.3,105.3,38.1,23.64,69.74
6/7/2017,0,74.8,89.9,104.9,39.1,20.91,68.43
6/8/2017,0,71.5,88.3,105,32.4,18.75,70.27
6/9/2017,0,71.9,88.2,104.4,31.8,20.58,68.68
6/10/2017,0,72.5,88.3,104.2,34.7,19.41,67.82
6/11/2017,0,72.1,86.8,101.5,35.4,17.6,64.08
6/12/2017,0,68.9,82.8,96.7,38.5,15.51,51.86
6/13/2017,0,63.3,77.5,91.8,26.7,14.52,46.7
6/14/2017,0,62.7,79.1,95.6,13.8,15.98,54.9
6/15/2017,0,64.4,83.5,102.6,15.1,17.34,68.61
6/16/2017,0,67.5,86.9,106.3,16.7,19.35,76.65
6/17/2017,0,70.9,89.8,108.7,21.2,21.29,81.84
6/18/2017,0,72.9,90.7,108.5,25.8,22.89,81.01
6/19/2017,0,75,93.8,112.6,30.7,23.37,90.5
6/20/2017,0,79.2,97.9,116.5,33.6,27.81,100.3
6/21/2017,0,83,100.4,117.7,38.7,31.19,103.63
6/22/2017,0,83.8,99.8,115.8,44.7,28.02,97.01
6/23/2017,0,82.7,97.1,111.4,52.6,22.9,81.67
6/24/2017,0,80.9,96.2,111.5,49.5,20.67,81.93
6/25/2017,0,85.3,100.4,115.5,44.8,29.48,95.61
6/26/2017,0,86.5,100.2,114,48.3,26.47,91.06
6/27/2017,0,83.3,97.6,112,47.7,24.12,84.83
6/28/2017,0,80.4,95.2,110,35.7,24.76,83.49
6/29/2017,0,78,92.7,107.4,45.6,21.23,74.88
6/30/2017,0,76.4,91.3,106.2,39.9,19.85,71.77
7/1/2017,0,75.6,90.9,106.2,32.1,23.77,73.55
7/2/2017,0,76,92.9,109.8,27.9,24.7,84.04
7/3/2017,0,77.4,92.2,107.1,43.8,22.51,71.61
7/4/2017,0,82.1,94.3,106.5,55.4,21.11,65.85
7/5/2017,0,81.5,95.7,109.9,47.6,22.85,79.21
7/6/2017,0,83.6,97.5,111.3,48.9,25.74,82.55
7/7/2017,0,85.4,98.5,111.7,51.1,25.57,82.61
7/8/2017,0,86.1,100.8,115.5,47.2,28.55,94.22
7/9/2017,0,84.4,97.5,110.6,55.5,19.93,76.76
7/10/2017,0.39,83.1,95.4,107.6,59.8,16.02,67.87
7/11/2017,0,82.4,95.4,108.3,58.7,16,69.99
7/12/2017,0,83.5,94.1,104.6,60,19.71,59.41
7/13/2017,0,83.8,95.7,107.7,59.4,20.37,67.84
7/14/2017,0,84.1,96.5,108.9,60.8,19.41,70.53
7/15/2017,0,85.6,97.2,108.9,59.9,22.15,70.35
7/16/2017,0,80.4,93.8,107.2,63.9,9.68,64.15
7/17/2017,0.17,75.7,89.5,103.2,66.3,3.99,53.64
7/18/2017,0,79,88.9,98.8,67.2,7.08,42.76
7/19/2017,0.73,80.7,91.6,102.6,67.1,10.06,51.38
7/20/2017,0.04,82.2,91.4,100.5,65.3,12.35,46.58
7/21/2017,0,81.6,92.3,103,63.3,13.5,54.37
7/22/2017,0,82.7,93.7,104.7,62.9,14.31,58.45
7/23/2017,0.04,82.8,95,107.2,63.2,12.82,65.08
7/24/2017,0.06,79.4,90.6,101.9,66.1,6.93,51.71
7/25/2017,1.59,74.6,82,89.4,73,0.85,21.27
