Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,45.4,48.8,52.1,39.5,1.98,5.51
1/2/2017,0.07,44.2,48.1,52,39.1,1.12,5.99
1/3/2017,0.17,43.5,46.6,49.8,42.7,0.61,3.4
1/4/2017,0.53,47.5,51.9,56.3,50.4,0.22,1.37
1/5/2017,0.61,46.2,50.7,55.1,48.6,0.18,1.11
1/6/2017,0,40.3,45,49.7,33.9,1.68,5.63
1/7/2017,0.01,39.3,43.5,47.7,31.9,1.56,5.8
1/8/2017,0.96,44.1,51.2,58.2,51.2,0.22,1.63
1/9/2017,1.33,53.4,56.9,60.3,56.5,0.12,1.35
1/10/2017,0.34,52.3,54,55.8,50.1,0.74,3.64
1/11/2017,1.71,52.5,55.1,57.7,53.1,0.44,1.87
1/12/2017,0.33,46.2,49.6,52.9,45.5,0.55,3.47
1/13/2017,0.32,44,46.9,49.8,42.7,0.45,2.7
1/14/2017,0,43.2,49.6,56.1,41.6,0.45,7.25
1/15/2017,0,43.6,49.9,56.3,41.9,0.37,7.39
1/16/2017,0,43.3,47.8,52.2,41.5,0.55,3.99
1/17/2017,0,43,48.2,53.4,40.1,0.81,5.47
1/18/2017,0.01,42.5,46.8,51,42.3,0.78,3.49
1/19/2017,0.85,48.3,50.3,52.3,47.7,0.7,2.89
1/20/2017,0.25,48.9,52.1,55.2,47.2,0.88,3.51
1/21/2017,0.69,46.1,49.3,52.5,45.1,0.57,2.77
1/22/2017,0.51,48.2,50.9,53.6,45.5,0.93,3.65
1/23/2017,0.78,46.5,51,55.4,45.6,0.76,4.89
1/24/2017,0.39,44.2,47.7,51.2,42.2,0.87,3.85
1/25/2017,0,43.2,48.1,53,40.6,0.88,5.32
1/26/2017,0,44.4,49.4,54.4,42.2,0.76,5.09
1/27/2017,0,45.3,50.7,56,41.7,0.61,6.75
1/28/2017,0,45.9,51.7,57.6,37.9,1.93,8.99
1/29/2017,0,44.7,52.1,59.4,40.3,1.74,8.81
