Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0,18.4,22.5,26.6,15.9,0.62,1.66
1/2/2017,0,18.5,24.7,30.9,19.8,0.45,2.18
1/3/2017,0,25.3,28.2,31,27.4,0.08,1.33
1/4/2017,0,-5.7,10.4,26.4,-0.1,0.15,0.86
1/5/2017,0,-8.1,-2.6,2.9,-9.1,0.19,0.67
1/6/2017,0,-11.6,-4.9,1.8,-12.3,0.17,0.67
1/7/2017,0,-12.2,-3.2,5.8,-7.4,0.16,0.8
1/8/2017,0,-7.8,0.2,8.3,-6.5,0.17,0.97
1/9/2017,0,-7.9,5.8,19.5,4.2,0.17,1.42
1/10/2017,0.09,15,21,26.9,18.6,0.27,0.9
1/11/2017,0.16,2,14.7,27.4,7.5,0.11,0.85
1/12/2017,0.02,2.1,5.6,9.2,-1.3,0.3,0.77
1/13/2017,0,-10.8,1.2,13.2,-8.1,0.23,1.17
1/14/2017,0,-8.9,0.4,9.7,-4.2,0.22,0.83
1/15/2017,0,-1.5,10.4,22.3,3.5,0.14,1.67
1/16/2017,0,-2,14.9,31.8,13.6,0.09,2.38
1/17/2017,0.25,12.3,21.6,30.9,21.6,0.15,1.51
1/18/2017,0,25,29.4,33.8,27.4,0.14,1.15
1/19/2017,0,26.1,32.6,39.1,30,0.17,2.18
1/20/2017,0.03,32.5,36,39.6,32.5,0.25,1.85
1/21/2017,0.02,33.1,34.9,36.6,34,0.02,0.57
1/22/2017,0,32.9,35,37.2,34.3,0.01,0.46
1/23/2017,0,31,34.8,38.6,33.6,0,0.94
1/24/2017,0,30.8,32,33.2,29.3,0.17,1.06
1/25/2017,0.07,28.8,30.2,31.7,27.4,0.21,1.11
1/26/2017,0.07,26.7,28.1,29.5,24.3,0.34,1.19
1/27/2017,0,19,23.2,27.5,18.3,0.59,1.38
1/28/2017,0,13,21.2,29.4,18.4,0.25,1.69
1/29/2017,0,22.3,25,27.7,19,0.6,1.5
1/30/2017,0,12.5,20.5,28.4,12.2,0.41,2.81
1/31/2017,0.02,20.2,31.2,42.2,28.9,0.19,3.55
2/1/2017,0,19.1,28.7,38.3,25.8,0.56,2.49
2/2/2017,0,7.9,13.4,18.9,2.1,0.61,1.94
2/3/2017,0,6.3,11.6,16.9,1.1,0.5,1.62
2/4/2017,0,5.9,15.3,24.8,5.2,0.44,2.8
2/5/2017,0,19.3,26.6,33.9,18.9,0.88,3.07
2/6/2017,0,17,21.6,26.3,10.3,0.6,2.69
2/7/2017,0,18.9,26.3,33.7,21.3,0.45,2.39
2/8/2017,0,2.4,14.5,26.5,11.8,0.22,1.19
2/9/2017,0,0,7.3,14.6,-3.6,0.41,1.6
2/10/2017,0,1.7,11.9,22.2,4.5,0.45,2.26
2/11/2017,0,20.5,34,47.5,27.6,0.74,5.67
2/12/2017,0.04,32.4,38,43.6,31.2,0.47,3.95
2/13/2017,0,27.2,33.1,38.9,22.3,0.6,4.41
2/14/2017,0,27.8,37.6,47.4,28.7,0.57,5.43
2/15/2017,0,19.7,31,42.2,19.8,0.68,5.07
2/16/2017,0,18.1,27.3,36.6,18.2,0.64,4.52
2/17/2017,0,29,35.8,42.6,28,0.41,3.86
2/18/2017,0,30.5,46.1,61.6,35.5,0.39,10.94
2/19/2017,0,30.8,44.2,57.7,34.4,0.19,9.1
2/20/2017,0,31,45.3,59.5,40.5,0.19,8.53
2/21/2017,0.57,31.8,42.8,53.9,42.8,0.04,2.65
2/22/2017,0,31.8,46.5,61.3,40.2,0.03,9.27
2/23/2017,0,32.4,45.2,58,37.6,0.25,6.62
2/24/2017,0,25.7,31.3,36.8,23.8,0.89,2.74
2/25/2017,0,14.5,21.1,27.7,12.4,0.88,2.19
2/26/2017,0,14,23.3,32.6,14.5,0.73,3.33
2/27/2017,0,19.6,28.1,36.7,18.9,0.37,3.88
2/28/2017,0,23.1,33,43,25.5,0.58,5.24
3/1/2017,0.06,27.5,36.7,46,30.5,0.34,3.98
3/2/2017,0,17.7,27,36.2,19.8,0.49,3.07
3/3/2017,0,12,20.7,29.5,8.6,0.55,3.44
3/4/2017,0,10.5,20.6,30.7,16.2,0.39,2.96
3/5/2017,0,24.4,32.9,41.4,27.3,0.77,3.81
3/6/2017,0,37.4,47.6,57.7,43.3,0.75,6.15
3/7/2017,0.15,27.1,47,66.9,42.4,0.42,7.72
3/8/2017,0,27.8,37.8,47.9,18,1.7,7.69
3/9/2017,0,23.8,28.7,33.6,12.6,1.54,3.95
3/10/2017,0,6.6,18.4,30.3,3.2,0.91,3.84
3/11/2017,0,3.9,10.7,17.5,-9.7,0.75,2.47
3/12/2017,0,9,15.1,21.2,-5.6,0.89,2.98
3/13/2017,0.24,10.1,15.5,21,10.9,0.22,2.32
3/14/2017,0,2.5,13.7,25,5.1,0.32,2.49
3/15/2017,0,2.3,14.3,26.3,4.2,0.3,3
3/16/2017,0,5.2,17.1,29,10.2,0.28,3.26
3/17/2017,0,20.2,29.6,39,23.8,0.3,3.73
3/18/2017,0,26.4,34.9,43.4,29.1,0.13,3.07
3/19/2017,0,27.6,34.1,40.5,25.4,0.58,3.78
3/20/2017,0,30.6,42.7,54.7,34.2,0.38,6.78
3/21/2017,0,31.8,42.7,53.6,25.5,2.1,9.91
3/22/2017,0,18.9,28,37.1,10.5,1.19,5.12
3/23/2017,0,17,27.4,37.8,16.1,0.92,4.57
3/24/2017,0.07,35.8,37.6,39.4,31.9,0.18,3.29
3/25/2017,0,36,40.4,44.8,34.9,0.16,2.83
3/26/2017,0.02,35.1,38.6,42,34.2,0.15,2.5
3/27/2017,0,35.1,38.8,42.5,36.6,0.15,1.71
3/28/2017,0,32.6,45,57.4,35,0.39,9.49
3/29/2017,0,30.3,46.7,63,33.5,0.1,13.98
3/30/2017,0.05,37.5,43.6,49.7,36.5,0.64,5.24
3/31/2017,0,33.1,39.7,46.2,33.9,0.65,3.77
4/1/2017,0,30.7,43.2,55.7,30.6,0.43,9.56
4/2/2017,0,31.2,47.6,64,31.2,0.52,15.02
4/3/2017,0,39.7,47.1,54.6,43.6,0.01,4.94
4/4/2017,0.14,42.9,47,51.1,44.3,0.23,2.9
4/5/2017,0,36.2,48.6,61.1,29.3,1.13,13.79
4/6/2017,0,34.5,44.4,54.3,25.6,2.1,10.14
4/7/2017,0,26.6,40.3,54.1,21.7,0.78,10.95
4/8/2017,0,27.4,43.3,59.2,25.4,0.73,13.19
4/9/2017,0,45.3,59.4,73.5,45.4,1.02,17.92
4/10/2017,0.06,47.3,59.2,71,46.2,2.37,14.85
4/11/2017,0.15,31.2,39.1,47,33.7,0.11,3.67
4/12/2017,0,32,42.2,52.4,31.5,0.41,7.82
4/13/2017,0.21,36.7,45.7,54.8,43,0,6.27
4/14/2017,0,47,50.6,54.3,44.7,1,4.03
4/15/2017,1.26,46.2,56,65.7,52.8,0,8.27
4/16/2017,0.42,45.2,57.9,70.7,52,0.61,10.04
4/17/2017,0,42.8,53.7,64.6,34.3,2.51,15.45
4/18/2017,0.05,42.2,49.9,57.6,32.3,2.52,10.9
4/19/2017,0.14,44,53.5,63.1,45,1.12,7.2
4/20/2017,0.97,39.6,44.7,49.8,41.3,0.11,3.93
4/21/2017,0,34.6,41.9,49.2,37.8,0.2,4.15
4/22/2017,0,34.6,48.2,61.8,36.2,0.2,12.36
4/23/2017,0,37.7,52.7,67.7,36,0.61,16.43
4/24/2017,0,44.6,57.3,70,37,2.31,19.5
4/25/2017,0.01,51.5,60.8,70.2,35.3,4.23,19.5
4/26/2017,0.78,38.3,47.3,56.3,45.8,0.32,4.85
4/27/2017,0.07,32.3,36.2,40,33.3,0.24,1.73
4/28/2017,0,31,34,37,27.4,0.47,2.46
4/29/2017,0,33.1,41.7,50.3,28.9,0.98,7.01
4/30/2017,0,37.4,45.5,53.7,26.3,2.35,9.5
5/1/2017,0.93,35.6,40.9,46.3,34.4,0.14,4.26
5/2/2017,0.1,35.1,38.1,41.2,35.9,0.17,2.02
5/3/2017,0,39.7,50.1,60.5,33.3,1.71,12.27
5/4/2017,0,40.8,52.7,64.6,38.6,0.61,13.68
5/5/2017,0,40.3,54,67.7,38.7,0.56,16.36
5/6/2017,0,43.6,60.3,76.9,38.9,1.6,24.09
5/7/2017,0,46.5,56.9,67.2,36.7,2.96,15.67
5/8/2017,0,46.5,56.4,66.2,31.3,5.36,14.69
5/9/2017,0.02,47.5,59.7,71.9,41.2,0.69,18
5/10/2017,0,46.9,59,71.1,45.7,0.8,16.44
5/11/2017,0,42.9,54.7,66.5,43.1,1.46,13.49
5/12/2017,0,40.3,53,65.6,35.2,1.13,15.08
5/13/2017,0,52.7,64.2,75.8,40.8,4.57,22.23
5/14/2017,0,53.8,68,82.1,42.7,4.6,28.93
5/15/2017,0,57,71.2,85.5,51.4,4.71,29.25
5/16/2017,1.55,59.1,64.5,69.8,56.7,0.88,11.02
5/17/2017,0.2,60.4,71,81.6,62.5,0.54,16.12
5/18/2017,1.6,48.2,58.2,68.2,56.7,0.47,5.08
5/19/2017,0.04,42.6,48.9,55.1,42.2,0.8,5.16
5/20/2017,0.16,42.9,48,53,33.2,2.44,7.59
5/21/2017,1.15,40.3,45.5,50.8,44.2,0.13,3.06
5/22/2017,0.02,42.2,45.8,49.4,42.9,0.29,2.44
5/23/2017,0.04,45.7,55.5,65.3,45.1,0.46,11.43
5/24/2017,0.1,44,51.8,59.6,45.9,0.08,6.96
5/25/2017,0,43.4,52.3,61.2,45.3,0.06,8.43
5/26/2017,0.02,50.9,60.3,69.7,51.4,1.01,12.48
5/27/2017,0,49.9,64.3,78.8,51.2,1.21,21.01
5/28/2017,0,52.4,61.6,70.8,47.5,1.78,15.85
5/29/2017,0,52.1,62.2,72.3,46,2.26,17.69
5/30/2017,0.02,48.9,56.8,64.7,46.7,1.22,9.89
5/31/2017,0,45.8,52.7,59.6,44.1,1.3,7.32
6/1/2017,0,44.8,59.3,73.9,39.5,0.91,21.72
6/2/2017,0,54.1,66.4,78.6,39.6,3.6,26.87
6/3/2017,0,60.8,74.7,88.6,56.4,6.27,31.85
6/4/2017,0,58.1,73.5,88.8,56.7,3.76,29.93
6/5/2017,0,56.9,72.6,88.4,47.2,2.17,37.44
6/6/2017,0,52.2,66.4,80.6,48.8,3.01,23.96
6/7/2017,0,57.2,69.4,81.5,45,5.41,27.74
6/8/2017,0,60.7,73.6,86.5,49.1,4.13,32.41
6/9/2017,0,58.4,70.6,82.7,55.2,1.71,24.49
6/10/2017,0,60.9,73.7,86.5,56.5,2.64,28.21
6/11/2017,0.79,69.6,81.6,93.6,61.5,6.86,34.12
6/12/2017,1.08,60,67.9,75.8,65.5,0,14.06
6/13/2017,0.44,64.3,72.3,80.4,64.5,0.21,16
6/14/2017,0.18,64.2,76.4,88.6,67.7,0.86,21.31
6/15/2017,0,63.2,72.9,82.6,60.9,3.02,20.19
6/16/2017,0,62.8,73.8,84.8,54.3,4.11,28.86
6/17/2017,0,58,70.9,83.8,56.7,0.91,25.05
6/18/2017,0.21,58.2,70.3,82.4,58.3,0.44,22.75
6/19/2017,0,56.5,64.4,72.2,54.8,1.02,13.2
6/20/2017,0.05,55,63.7,72.4,51.6,1.17,15.48
6/21/2017,0,54.1,64.4,74.7,51.1,0.9,18.33
6/22/2017,0.03,58,68.6,79.2,59.5,0,18.21
6/23/2017,0.24,52.9,61.7,70.5,61,0.35,5.72
6/24/2017,0.04,50.7,61,71.3,50.4,2.14,13.1
6/25/2017,0.09,50,57.1,64.2,45.5,0.92,10.73
6/26/2017,0,47.5,57.8,68.1,44.9,0.91,14.77
6/27/2017,0,48.6,59.8,71,44.8,1.37,16.98
6/28/2017,0.78,58.5,67.1,75.7,47.5,1.16,20.83
6/29/2017,0.12,60.6,71.1,81.7,63.1,0.42,15.74
6/30/2017,0.04,60.1,67.5,74.8,60.9,0.63,10.75
7/1/2017,0.24,59.6,69.4,79.2,59.2,1.13,17.99
7/2/2017,0,57.5,66.4,75.2,54.8,1.19,16.63
7/3/2017,0,55.4,66.8,78.3,54.4,0.83,20.04
7/4/2017,0,57.5,69.1,80.8,56.9,0.5,21.45
7/5/2017,0,66.1,76.2,86.2,66.3,1.49,19.55
7/6/2017,0,68.8,79,89.2,66.4,2.64,25.66
7/7/2017,0,63,77.6,92.1,62.5,3.66,31.99
7/8/2017,0,55.8,69.2,82.6,56,0.85,23.73
7/9/2017,0,57,69.5,82,55.7,0.56,23.49
