Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
1/1/2017,0.38,46.3,53.5,60.8,44.1,0.53,6.7
1/2/2017,0.08,37.7,45.6,53.6,38.2,0.43,3.93
1/3/2017,0,35.9,45.3,54.7,32.7,0.98,8.43
1/4/2017,0,39,50.6,62.2,35.4,1.36,12.44
1/5/2017,0,42.2,55.2,68.2,33.9,2.3,16.32
1/6/2017,0,43.5,55.8,68.1,39.4,1.9,13.98
1/7/2017,0,40.7,52.2,63.7,32,2.05,12.96
1/8/2017,0,38.3,54,69.7,29.1,2.37,18.43
1/9/2017,0.19,48.3,63.8,79.3,33.5,6.21,25.92
1/10/2017,0,47.8,60.1,72.5,36.1,3.53,18.81
1/11/2017,0,42.9,57.2,71.5,30.4,2.2,21.13
1/12/2017,0,41.3,53.2,65.2,29.9,2.77,16.54
1/13/2017,0,40.3,54.6,68.9,28.4,2.51,18.82
1/14/2017,0,43.8,53.9,64,29.4,4.58,14.22
1/15/2017,0.15,43.1,53,62.8,40.6,0.16,10.68
1/16/2017,0.05,41.1,46.3,51.5,43,0.1,2.46
1/17/2017,0,40.7,50.3,59.9,37.3,0.34,8.01
1/18/2017,0,41.2,51.5,61.9,36.2,1.92,10.1
1/19/2017,0,41,52,62.9,34.7,1.98,11.93
1/20/2017,0.37,38.8,49.3,59.9,34.1,0.65,10.59
1/21/2017,0.47,45.6,50.6,55.6,40.5,0.94,5.7
1/22/2017,0,37.5,46.8,56.2,31.6,1.4,8.43
1/23/2017,0,38.4,50.3,62.1,29.5,2.09,13.35
1/24/2017,0.18,41.5,51.9,62.4,36.3,0.71,10.64
1/25/2017,0,35.1,44.8,54.5,27.6,0.88,8.59
1/26/2017,0,29.8,41.4,53,21.8,1.04,9.26
1/27/2017,0,29.6,42.1,54.6,20.6,1.98,10.32
1/28/2017,0,30.5,42.6,54.6,13.3,2.23,11.18
1/29/2017,0,35,47.8,60.7,12.6,4.26,14.52
1/30/2017,0,38.1,54.3,70.5,13.8,4.77,21.07
1/31/2017,0,40.2,57,73.7,15.9,4.98,24.58
2/1/2017,0,38.4,56,73.7,20.1,4.81,23.38
2/2/2017,0,41.9,58.2,74.5,21.3,4.91,24.62
2/3/2017,0,43.6,58.7,73.9,26.5,4.48,22.77
2/4/2017,0,42.9,58.8,74.6,25.9,4.34,23.89
2/5/2017,0,43.2,59.5,75.7,22.5,4.51,26.28
2/6/2017,0,45.4,60,74.6,24,5.67,24.81
2/7/2017,0,46.2,57.5,68.8,30.4,3.49,17.68
2/8/2017,0,44.4,56.4,68.4,40.5,2.32,14.23
2/9/2017,0,47.6,61.7,75.9,42,2.44,19.67
2/10/2017,0,49.5,67.5,85.5,40.2,3.51,31.86
2/11/2017,0,52.2,68.7,85.1,35.4,6.04,34.01
2/12/2017,0,49.7,64.3,79,37.8,3.52,24.95
2/13/2017,0.02,49.8,59.7,69.6,43.2,2.36,15.96
2/14/2017,0.01,47.4,57.5,67.7,40.3,2.5,13.34
2/15/2017,0,45,56.6,68.3,39.4,1.57,13.65
2/16/2017,0,45.1,56.5,67.8,26.2,4.83,17.75
2/17/2017,0,45,58.6,72.3,25.1,5.3,22.17
2/18/2017,0.02,49.3,58.3,67.4,33.5,5.33,16.8
2/19/2017,0.17,43.7,51.9,60.1,40.4,0.88,9.98
2/20/2017,0.04,43.2,49.7,56.2,42.9,0.34,5.71
2/21/2017,0,42.5,54.4,66.2,43.4,0.26,11.65
2/22/2017,0,44.8,60.4,75.9,42.2,1.79,20.29
2/23/2017,0,41.9,60.4,78.9,37.2,1.44,25.97
2/24/2017,0,34.4,48.4,62.5,17.7,2.92,15.65
2/25/2017,0,34.4,48.1,61.9,16.5,3.22,15.39
2/26/2017,0,36.5,51.3,66,14,4.4,19.67
2/27/2017,0,44.6,54.8,65,23.8,4.06,16.52
2/28/2017,0,42,53.4,64.8,36.8,1.88,14.62
3/1/2017,0.04,41.6,51.4,61.1,37.1,0.9,11.74
3/2/2017,0,40.9,53,65.1,28.3,2.36,16.31
3/3/2017,0,40.7,56.6,72.6,18.9,4.66,24.28
3/4/2017,0,49.4,61.5,73.6,22.6,7.38,24.8
3/5/2017,0,51.1,62.5,74,27.2,7.6,24.29
3/6/2017,0,48.3,58,67.6,33.8,4.34,16.57
3/7/2017,0,38.2,51.3,64.4,23.7,2.57,16.9
3/8/2017,0,41.5,57.8,74.1,19.9,5.26,25.54
3/9/2017,0,48.5,65.1,81.7,22.3,7.55,33.53
3/10/2017,0,53,69,85,23.3,9.52,37.21
